チーム春日未来51位	22341 pt
チーム所恵美97位	11289 pt
チーム所恵美98位	11254 pt
チーム所恵美99位	11148 pt
チーム所恵美100位	10908 pt
チーム所恵美111位	8651 pt
チーム所恵美112位	8412 pt
チーム所恵美113位	8338 pt
チーム所恵美114位	8019 pt
チーム所恵美115位	7930 pt
チーム所恵美116位	7902 pt
チーム所恵美117位	7740 pt
チーム所恵美118位	7569 pt
チーム所恵美119位	7488 pt
チーム所恵美120位	7457 pt
チーム所恵美131位	6526 pt
チーム所恵美132位	6491 pt
チーム所恵美133位	6454 pt
チーム所恵美134位	6171 pt
チーム所恵美135位	6069 pt
チーム所恵美136位	5943 pt
チーム所恵美137位	5885 pt
チーム所恵美138位	5693 pt
チーム所恵美139位	5575 pt
チーム所恵美140位	5433 pt
チーム所恵美151位	4597 pt
チーム所恵美152位	4591 pt
チーム所恵美153位	4579 pt
チーム所恵美154位	4577 pt
チーム所恵美155位	4494 pt
チーム所恵美156位	4482 pt
チーム所恵美157位	4452 pt
チーム所恵美158位	4349 pt
チーム所恵美159位	4246 pt
チーム所恵美160位	4223 pt
チーム所恵美171位	3716 pt
チーム所恵美172位	3656 pt
チーム所恵美173位	3609 pt
チーム所恵美174位	3589 pt
チーム所恵美175位	3530 pt
チーム所恵美176位	3524 pt
チーム所恵美177位	3515 pt
チーム所恵美178位	3459 pt
チーム所恵美179位	3414 pt
チーム所恵美180位	3361 pt
チーム所恵美191位	2986 pt
チーム所恵美192位	2877 pt
チーム所恵美193位	2840 pt
チーム所恵美194位	2792 pt
チーム所恵美195位	2790 pt
チーム所恵美196位	2771 pt
チーム所恵美197位	2711 pt
チーム所恵美198位	2674 pt
チーム所恵美199位	2671 pt
チーム所恵美200位	2668 pt
チーム所恵美211位	2461 pt
チーム所恵美212位	2442 pt
チーム所恵美213位	2439 pt
チーム所恵美214位	2430 pt
チーム所恵美215位	2397 pt
チーム所恵美216位	2284 pt
チーム所恵美217位	2268 pt
チーム所恵美218位	2260 pt
チーム所恵美219位	2228 pt
チーム所恵美220位	2228 pt
チーム所恵美231位	1966 pt
チーム所恵美232位	1944 pt
チーム所恵美233位	1935 pt
チーム所恵美234位	1917 pt
チーム所恵美235位	1899 pt
チーム所恵美236位	1880 pt
チーム所恵美237位	1878 pt
チーム所恵美238位	1713 pt
チーム所恵美239位	1644 pt
チーム所恵美240位	1636 pt
チーム所恵美251位	1466 pt
チーム所恵美252位	1462 pt
チーム所恵美253位	1461 pt
チーム所恵美254位	1425 pt
チーム所恵美255位	1423 pt
チーム所恵美256位	1420 pt
チーム所恵美257位	1395 pt
チーム所恵美258位	1318 pt
チーム所恵美259位	1309 pt
チーム所恵美260位	1289 pt
チーム所恵美271位	1181 pt
チーム所恵美272位	1168 pt
チーム所恵美273位	1167 pt
チーム所恵美274位	1154 pt
チーム所恵美275位	1131 pt
チーム所恵美276位	1114 pt
チーム所恵美277位	1113 pt
チーム所恵美278位	1108 pt
チーム所恵美279位	1108 pt
チーム所恵美280位	1095 pt
チーム所恵美291位	991 pt
チーム所恵美292位	988 pt
チーム所恵美293位	973 pt
チーム所恵美294位	973 pt
チーム所恵美295位	959 pt
チーム所恵美296位	953 pt
チーム所恵美297位	945 pt
チーム所恵美298位	922 pt
チーム所恵美299位	916 pt
チーム所恵美300位	909 pt
チーム徳川まつり51位	12698 pt
チーム徳川まつり52位	12672 pt
チーム徳川まつり53位	12054 pt
チーム徳川まつり54位	12012 pt
チーム徳川まつり55位	11145 pt
チーム徳川まつり56位	10993 pt
チーム徳川まつり57位	10665 pt
チーム徳川まつり58位	10460 pt
チーム徳川まつり59位	10431 pt
チーム徳川まつり60位	10351 pt
チーム徳川まつり71位	8842 pt
チーム徳川まつり72位	8424 pt
チーム徳川まつり73位	8344 pt
チーム徳川まつり74位	7592 pt
チーム徳川まつり75位	7536 pt
チーム徳川まつり76位	7469 pt
チーム徳川まつり77位	7369 pt
チーム徳川まつり78位	7146 pt
チーム徳川まつり79位	7080 pt
チーム徳川まつり80位	6975 pt
チーム徳川まつり91位	5632 pt
チーム徳川まつり92位	5557 pt
チーム徳川まつり93位	5475 pt
チーム徳川まつり94位	5405 pt
チーム徳川まつり95位	5283 pt
チーム徳川まつり96位	5278 pt
チーム徳川まつり97位	5251 pt
チーム徳川まつり98位	5066 pt
チーム徳川まつり99位	4835 pt
チーム徳川まつり100位	4752 pt
チーム徳川まつり111位	4348 pt
チーム徳川まつり112位	4335 pt
チーム徳川まつり113位	4245 pt
チーム徳川まつり114位	4233 pt
チーム徳川まつり115位	4107 pt
チーム徳川まつり116位	4094 pt
チーム徳川まつり117位	4080 pt
チーム徳川まつり118位	4077 pt
チーム徳川まつり119位	4063 pt
チーム徳川まつり120位	3869 pt
チーム徳川まつり131位	3288 pt
チーム徳川まつり132位	3245 pt
チーム徳川まつり133位	3224 pt
チーム徳川まつり134位	3218 pt
チーム徳川まつり135位	3184 pt
チーム徳川まつり136位	3168 pt
チーム徳川まつり137位	3146 pt
チーム徳川まつり138位	3104 pt
チーム徳川まつり139位	3076 pt
チーム徳川まつり140位	3067 pt
チーム徳川まつり151位	2532 pt
チーム徳川まつり152位	2523 pt
チーム徳川まつり153位	2516 pt
チーム徳川まつり154位	2354 pt
チーム徳川まつり155位	2274 pt
チーム徳川まつり156位	2256 pt
チーム徳川まつり157位	2232 pt
チーム徳川まつり158位	2214 pt
チーム徳川まつり159位	2198 pt
チーム徳川まつり160位	2184 pt
チーム徳川まつり171位	1890 pt
チーム徳川まつり172位	1864 pt
チーム徳川まつり173位	1813 pt
チーム徳川まつり174位	1796 pt
チーム徳川まつり175位	1740 pt
チーム徳川まつり176位	1732 pt
チーム徳川まつり177位	1685 pt
チーム徳川まつり178位	1652 pt
チーム徳川まつり179位	1617 pt
チーム徳川まつり180位	1599 pt
チーム徳川まつり191位	1371 pt
チーム徳川まつり192位	1349 pt
チーム徳川まつり193位	1322 pt
チーム徳川まつり194位	1295 pt
チーム徳川まつり195位	1273 pt
チーム徳川まつり196位	1251 pt
チーム徳川まつり197位	1246 pt
チーム徳川まつり198位	1225 pt
チーム徳川まつり199位	1190 pt
チーム徳川まつり200位	1186 pt
チーム徳川まつり211位	1071 pt
チーム徳川まつり212位	1068 pt
チーム徳川まつり213位	1050 pt
チーム徳川まつり214位	1033 pt
チーム徳川まつり215位	1030 pt
チーム徳川まつり216位	1028 pt
チーム徳川まつり217位	1025 pt
チーム徳川まつり218位	1009 pt
チーム徳川まつり219位	986 pt
チーム徳川まつり220位	924 pt
チーム徳川まつり231位	835 pt
チーム徳川まつり232位	829 pt
チーム徳川まつり233位	811 pt
チーム徳川まつり234位	808 pt
チーム徳川まつり235位	804 pt
チーム徳川まつり236位	799 pt
チーム徳川まつり237位	790 pt
チーム徳川まつり238位	786 pt
チーム徳川まつり239位	774 pt
チーム徳川まつり240位	755 pt
チーム徳川まつり251位	682 pt
チーム徳川まつり252位	676 pt
チーム徳川まつり253位	674 pt
チーム徳川まつり254位	662 pt
チーム徳川まつり255位	654 pt
チーム徳川まつり256位	644 pt
チーム徳川まつり257位	632 pt
チーム徳川まつり258位	632 pt
チーム徳川まつり259位	609 pt
チーム徳川まつり260位	608 pt
チーム徳川まつり271位	511 pt
チーム徳川まつり272位	501 pt
チーム徳川まつり273位	496 pt
チーム徳川まつり274位	492 pt
チーム徳川まつり275位	488 pt
チーム徳川まつり276位	486 pt
チーム徳川まつり277位	485 pt
チーム徳川まつり278位	479 pt
チーム徳川まつり279位	478 pt
チーム徳川まつり280位	476 pt
チーム徳川まつり291位	393 pt
チーム徳川まつり292位	392 pt
チーム徳川まつり293位	391 pt
チーム徳川まつり294位	391 pt
チーム徳川まつり295位	391 pt
チーム徳川まつり296位	390 pt
チーム徳川まつり297位	389 pt
チーム徳川まつり298位	382 pt
チーム徳川まつり299位	377 pt
チーム徳川まつり300位	376 pt
チーム箱崎星梨花51位	23655 pt
チーム箱崎星梨花52位	23194 pt
チーム箱崎星梨花53位	21392 pt
チーム箱崎星梨花54位	20211 pt
チーム箱崎星梨花55位	20054 pt
チーム箱崎星梨花56位	19997 pt
チーム箱崎星梨花57位	19389 pt
チーム箱崎星梨花58位	18989 pt
チーム箱崎星梨花59位	18714 pt
チーム箱崎星梨花60位	17159 pt
チーム箱崎星梨花71位	13895 pt
チーム箱崎星梨花72位	13877 pt
チーム箱崎星梨花73位	13741 pt
チーム箱崎星梨花74位	13717 pt
チーム箱崎星梨花75位	13136 pt
チーム箱崎星梨花76位	12803 pt
チーム箱崎星梨花77位	12572 pt
チーム箱崎星梨花78位	12227 pt
チーム箱崎星梨花79位	12023 pt
チーム箱崎星梨花80位	11528 pt
チーム箱崎星梨花91位	8375 pt
チーム箱崎星梨花92位	8276 pt
チーム箱崎星梨花93位	8088 pt
チーム箱崎星梨花94位	7992 pt
チーム箱崎星梨花95位	7844 pt
チーム箱崎星梨花96位	7818 pt
チーム箱崎星梨花97位	7437 pt
チーム箱崎星梨花98位	7420 pt
チーム箱崎星梨花99位	6936 pt
チーム箱崎星梨花100位	6777 pt
チーム箱崎星梨花111位	5085 pt
チーム箱崎星梨花112位	5064 pt
チーム箱崎星梨花113位	4883 pt
チーム箱崎星梨花114位	4831 pt
チーム箱崎星梨花115位	4747 pt
チーム箱崎星梨花116位	4689 pt
チーム箱崎星梨花117位	4606 pt
チーム箱崎星梨花118位	4601 pt
チーム箱崎星梨花119位	4555 pt
チーム箱崎星梨花120位	4492 pt
チーム箱崎星梨花131位	4083 pt
チーム箱崎星梨花132位	3968 pt
チーム箱崎星梨花133位	3939 pt
チーム箱崎星梨花134位	3916 pt
チーム箱崎星梨花135位	3896 pt
チーム箱崎星梨花136位	3895 pt
チーム箱崎星梨花137位	3818 pt
チーム箱崎星梨花138位	3748 pt
チーム箱崎星梨花139位	3692 pt
チーム箱崎星梨花140位	3653 pt
チーム箱崎星梨花151位	3081 pt
チーム箱崎星梨花152位	3052 pt
チーム箱崎星梨花153位	3041 pt
チーム箱崎星梨花154位	3001 pt
チーム箱崎星梨花155位	2976 pt
チーム箱崎星梨花156位	2866 pt
チーム箱崎星梨花157位	2852 pt
チーム箱崎星梨花158位	2843 pt
チーム箱崎星梨花159位	2815 pt
チーム箱崎星梨花160位	2710 pt
チーム箱崎星梨花171位	2403 pt
チーム箱崎星梨花172位	2392 pt
チーム箱崎星梨花173位	2392 pt
チーム箱崎星梨花174位	2251 pt
チーム箱崎星梨花175位	2242 pt
チーム箱崎星梨花176位	2190 pt
チーム箱崎星梨花177位	2172 pt
チーム箱崎星梨花178位	2137 pt
チーム箱崎星梨花179位	2103 pt
チーム箱崎星梨花180位	2100 pt
チーム箱崎星梨花191位	1848 pt
チーム箱崎星梨花192位	1839 pt
チーム箱崎星梨花193位	1829 pt
チーム箱崎星梨花194位	1818 pt
チーム箱崎星梨花195位	1776 pt
チーム箱崎星梨花196位	1752 pt
チーム箱崎星梨花197位	1749 pt
チーム箱崎星梨花198位	1702 pt
チーム箱崎星梨花199位	1671 pt
チーム箱崎星梨花200位	1642 pt
チーム箱崎星梨花211位	1453 pt
チーム箱崎星梨花212位	1409 pt
チーム箱崎星梨花213位	1406 pt
チーム箱崎星梨花214位	1400 pt
チーム箱崎星梨花215位	1389 pt
チーム箱崎星梨花216位	1374 pt
チーム箱崎星梨花217位	1371 pt
チーム箱崎星梨花218位	1345 pt
チーム箱崎星梨花219位	1319 pt
チーム箱崎星梨花220位	1316 pt
チーム箱崎星梨花231位	1075 pt
チーム箱崎星梨花232位	1074 pt
チーム箱崎星梨花233位	1069 pt
チーム箱崎星梨花234位	1054 pt
チーム箱崎星梨花235位	1040 pt
チーム箱崎星梨花236位	1033 pt
チーム箱崎星梨花237位	1025 pt
チーム箱崎星梨花238位	1020 pt
チーム箱崎星梨花239位	995 pt
チーム箱崎星梨花240位	959 pt
チーム箱崎星梨花251位	837 pt
チーム箱崎星梨花252位	800 pt
チーム箱崎星梨花253位	795 pt
チーム箱崎星梨花254位	769 pt
チーム箱崎星梨花255位	754 pt
チーム箱崎星梨花256位	744 pt
チーム箱崎星梨花257位	740 pt
チーム箱崎星梨花258位	731 pt
チーム箱崎星梨花259位	725 pt
チーム箱崎星梨花260位	722 pt
チーム箱崎星梨花271位	663 pt
チーム箱崎星梨花272位	651 pt
チーム箱崎星梨花273位	645 pt
チーム箱崎星梨花274位	641 pt
チーム箱崎星梨花275位	635 pt
チーム箱崎星梨花276位	605 pt
チーム箱崎星梨花277位	603 pt
チーム箱崎星梨花278位	588 pt
チーム箱崎星梨花279位	583 pt
チーム箱崎星梨花280位	582 pt
チーム箱崎星梨花291位	508 pt
チーム箱崎星梨花292位	497 pt
チーム箱崎星梨花293位	490 pt
チーム箱崎星梨花294位	450 pt
チーム箱崎星梨花295位	447 pt
チーム箱崎星梨花296位	444 pt
チーム箱崎星梨花297位	442 pt
チーム箱崎星梨花298位	441 pt
チーム箱崎星梨花299位	437 pt
チーム箱崎星梨花300位	422 pt
チーム野々原茜51位	13476 pt
チーム野々原茜52位	13122 pt
チーム野々原茜53位	13114 pt
チーム野々原茜54位	13012 pt
チーム野々原茜55位	12983 pt
チーム野々原茜56位	12936 pt
チーム野々原茜57位	12422 pt
チーム野々原茜58位	12383 pt
チーム野々原茜59位	12367 pt
チーム野々原茜60位	11757 pt
チーム野々原茜71位	8680 pt
チーム野々原茜72位	8477 pt
チーム野々原茜73位	8432 pt
チーム野々原茜74位	8339 pt
チーム野々原茜75位	6824 pt
チーム野々原茜76位	6475 pt
チーム野々原茜77位	6341 pt
チーム野々原茜78位	6176 pt
チーム野々原茜79位	5280 pt
チーム野々原茜80位	5095 pt
チーム野々原茜91位	3782 pt
チーム野々原茜92位	3748 pt
チーム野々原茜93位	3735 pt
チーム野々原茜94位	3729 pt
チーム野々原茜95位	3722 pt
チーム野々原茜96位	3555 pt
チーム野々原茜97位	3542 pt
チーム野々原茜98位	3529 pt
チーム野々原茜99位	3326 pt
チーム野々原茜100位	3219 pt
チーム野々原茜111位	2560 pt
チーム野々原茜112位	2479 pt
チーム野々原茜113位	2463 pt
チーム野々原茜114位	2369 pt
チーム野々原茜115位	2368 pt
チーム野々原茜116位	2313 pt
チーム野々原茜117位	2310 pt
チーム野々原茜118位	2296 pt
チーム野々原茜119位	2282 pt
チーム野々原茜120位	2153 pt
チーム野々原茜131位	1562 pt
チーム野々原茜132位	1561 pt
チーム野々原茜133位	1495 pt
チーム野々原茜134位	1468 pt
チーム野々原茜135位	1451 pt
チーム野々原茜136位	1360 pt
チーム野々原茜137位	1356 pt
チーム野々原茜138位	1308 pt
チーム野々原茜139位	1306 pt
チーム野々原茜140位	1299 pt
チーム野々原茜151位	983 pt
チーム野々原茜152位	945 pt
チーム野々原茜153位	914 pt
チーム野々原茜154位	907 pt
チーム野々原茜155位	880 pt
チーム野々原茜156位	873 pt
チーム野々原茜157位	855 pt
チーム野々原茜158位	828 pt
チーム野々原茜159位	812 pt
チーム野々原茜160位	773 pt
チーム野々原茜171位	584 pt
チーム野々原茜172位	566 pt
チーム野々原茜173位	560 pt
チーム野々原茜174位	547 pt
チーム野々原茜175位	528 pt
チーム野々原茜176位	517 pt
チーム野々原茜177位	496 pt
チーム野々原茜178位	463 pt
チーム野々原茜179位	462 pt
チーム野々原茜180位	451 pt
チーム野々原茜191位	333 pt
チーム野々原茜192位	330 pt
チーム野々原茜193位	330 pt
チーム野々原茜194位	326 pt
チーム野々原茜195位	325 pt
チーム野々原茜196位	315 pt
チーム野々原茜197位	310 pt
チーム野々原茜198位	302 pt
チーム野々原茜199位	291 pt
チーム野々原茜200位	282 pt
チーム野々原茜211位	242 pt
チーム野々原茜212位	242 pt
チーム野々原茜213位	229 pt
チーム野々原茜214位	222 pt
チーム野々原茜215位	216 pt
チーム野々原茜216位	216 pt
チーム野々原茜217位	214 pt
チーム野々原茜218位	213 pt
チーム野々原茜219位	206 pt
チーム野々原茜220位	205 pt
チーム野々原茜231位	164 pt
チーム野々原茜232位	164 pt
チーム野々原茜233位	164 pt
チーム野々原茜234位	158 pt
チーム野々原茜235位	157 pt
チーム野々原茜236位	155 pt
チーム野々原茜237位	151 pt
チーム野々原茜238位	151 pt
チーム野々原茜239位	150 pt
チーム野々原茜240位	150 pt
チーム野々原茜251位	131 pt
チーム野々原茜252位	131 pt
チーム野々原茜253位	128 pt
チーム野々原茜254位	123 pt
チーム野々原茜255位	122 pt
チーム野々原茜256位	117 pt
チーム野々原茜257位	112 pt
チーム野々原茜258位	112 pt
チーム野々原茜259位	103 pt
チーム野々原茜260位	101 pt
チーム野々原茜271位	75 pt
チーム野々原茜272位	72 pt
チーム野々原茜273位	63 pt
チーム野々原茜274位	62 pt
チーム野々原茜275位	62 pt
チーム野々原茜276位	62 pt
チーム野々原茜277位	61 pt
チーム野々原茜278位	58 pt
チーム野々原茜279位	57 pt
チーム野々原茜280位	51 pt
チーム野々原茜291位	40 pt
チーム野々原茜292位	40 pt
チーム野々原茜293位	40 pt
チーム野々原茜294位	38 pt
チーム野々原茜295位	37 pt
チーム野々原茜296位	35 pt
チーム野々原茜297位	29 pt
チーム野々原茜298位	29 pt
チーム野々原茜299位	29 pt
チーム野々原茜300位	29 pt
チーム望月杏奈51位	35388 pt
チーム望月杏奈52位	34700 pt
チーム望月杏奈53位	33867 pt
チーム望月杏奈54位	32947 pt
チーム望月杏奈55位	30861 pt
チーム望月杏奈56位	30425 pt
チーム望月杏奈57位	29273 pt
チーム望月杏奈58位	28954 pt
チーム望月杏奈59位	28920 pt
チーム望月杏奈60位	28301 pt
チーム望月杏奈71位	19853 pt
チーム望月杏奈72位	19836 pt
チーム望月杏奈73位	19416 pt
チーム望月杏奈74位	19369 pt
チーム望月杏奈75位	19299 pt
チーム望月杏奈76位	19251 pt
チーム望月杏奈77位	19124 pt
チーム望月杏奈78位	18719 pt
チーム望月杏奈79位	18367 pt
チーム望月杏奈80位	17902 pt
チーム望月杏奈91位	13778 pt
チーム望月杏奈92位	13721 pt
チーム望月杏奈93位	13332 pt
チーム望月杏奈94位	13282 pt
チーム望月杏奈95位	13197 pt
チーム望月杏奈96位	13181 pt
チーム望月杏奈97位	12904 pt
チーム望月杏奈98位	12322 pt
チーム望月杏奈99位	12296 pt
チーム望月杏奈100位	12028 pt
チーム望月杏奈111位	10447 pt
チーム望月杏奈112位	10347 pt
チーム望月杏奈113位	10104 pt
チーム望月杏奈114位	9967 pt
チーム望月杏奈115位	9897 pt
チーム望月杏奈116位	9822 pt
チーム望月杏奈117位	9605 pt
チーム望月杏奈118位	9549 pt
チーム望月杏奈119位	9510 pt
チーム望月杏奈120位	9485 pt
チーム望月杏奈131位	8369 pt
チーム望月杏奈132位	8254 pt
チーム望月杏奈133位	8167 pt
チーム望月杏奈134位	7736 pt
チーム望月杏奈135位	7705 pt
チーム望月杏奈136位	7639 pt
チーム望月杏奈137位	7611 pt
チーム望月杏奈138位	7544 pt
チーム望月杏奈139位	7520 pt
チーム望月杏奈140位	7470 pt
チーム望月杏奈151位	6312 pt
チーム望月杏奈152位	6251 pt
チーム望月杏奈153位	6133 pt
チーム望月杏奈154位	6075 pt
チーム望月杏奈155位	6071 pt
チーム望月杏奈156位	6030 pt
チーム望月杏奈157位	5892 pt
チーム望月杏奈158位	5838 pt
チーム望月杏奈159位	5831 pt
チーム望月杏奈160位	5647 pt
チーム望月杏奈171位	4779 pt
チーム望月杏奈172位	4726 pt
チーム望月杏奈173位	4725 pt
チーム望月杏奈174位	4677 pt
チーム望月杏奈175位	4585 pt
チーム望月杏奈176位	4579 pt
チーム望月杏奈177位	4499 pt
チーム望月杏奈178位	4369 pt
チーム望月杏奈179位	4360 pt
チーム望月杏奈180位	4267 pt
チーム望月杏奈191位	3706 pt
チーム望月杏奈192位	3705 pt
チーム望月杏奈193位	3688 pt
チーム望月杏奈194位	3665 pt
チーム望月杏奈195位	3637 pt
チーム望月杏奈196位	3634 pt
チーム望月杏奈197位	3567 pt
チーム望月杏奈198位	3556 pt
チーム望月杏奈199位	3542 pt
チーム望月杏奈200位	3534 pt
チーム望月杏奈211位	3164 pt
チーム望月杏奈212位	3093 pt
チーム望月杏奈213位	3038 pt
チーム望月杏奈214位	3013 pt
チーム望月杏奈215位	2877 pt
チーム望月杏奈216位	2824 pt
チーム望月杏奈217位	2716 pt
チーム望月杏奈218位	2705 pt
チーム望月杏奈219位	2663 pt
チーム望月杏奈220位	2599 pt
チーム望月杏奈231位	2359 pt
チーム望月杏奈232位	2280 pt
チーム望月杏奈233位	2269 pt
チーム望月杏奈234位	2224 pt
チーム望月杏奈235位	2219 pt
チーム望月杏奈236位	2218 pt
チーム望月杏奈237位	2198 pt
チーム望月杏奈238位	2195 pt
チーム望月杏奈239位	2189 pt
チーム望月杏奈240位	2163 pt
チーム望月杏奈251位	2030 pt
チーム望月杏奈252位	2027 pt
チーム望月杏奈253位	2001 pt
チーム望月杏奈254位	1975 pt
チーム望月杏奈255位	1944 pt
チーム望月杏奈256位	1932 pt
チーム望月杏奈257位	1920 pt
チーム望月杏奈258位	1895 pt
チーム望月杏奈259位	1883 pt
チーム望月杏奈260位	1855 pt
チーム望月杏奈271位	1596 pt
チーム望月杏奈272位	1552 pt
チーム望月杏奈273位	1534 pt
チーム望月杏奈274位	1524 pt
チーム望月杏奈275位	1524 pt
チーム望月杏奈276位	1509 pt
チーム望月杏奈277位	1506 pt
チーム望月杏奈278位	1505 pt
チーム望月杏奈279位	1463 pt
チーム望月杏奈280位	1416 pt
チーム望月杏奈291位	1257 pt
チーム望月杏奈292位	1245 pt
チーム望月杏奈293位	1231 pt
チーム望月杏奈294位	1224 pt
チーム望月杏奈295位	1214 pt
チーム望月杏奈296位	1209 pt
チーム望月杏奈297位	1197 pt
チーム望月杏奈298位	1191 pt
チーム望月杏奈299位	1183 pt
チーム望月杏奈300位	1178 pt
チーム七尾百合子51位	30332 pt
チーム七尾百合子52位	30277 pt
チーム七尾百合子53位	30043 pt
チーム七尾百合子54位	29839 pt
チーム七尾百合子55位	29700 pt
チーム七尾百合子56位	29024 pt
チーム七尾百合子57位	27589 pt
チーム七尾百合子58位	26741 pt
チーム七尾百合子59位	24979 pt
チーム七尾百合子60位	24696 pt
チーム七尾百合子71位	17155 pt
チーム七尾百合子72位	16920 pt
チーム七尾百合子73位	16412 pt
チーム七尾百合子74位	16144 pt
チーム七尾百合子75位	15691 pt
チーム七尾百合子76位	15122 pt
チーム七尾百合子77位	14923 pt
チーム七尾百合子78位	13111 pt
チーム七尾百合子79位	12880 pt
チーム七尾百合子80位	12875 pt
チーム七尾百合子91位	10513 pt
チーム七尾百合子92位	10444 pt
チーム七尾百合子93位	9883 pt
チーム七尾百合子94位	9854 pt
チーム七尾百合子95位	9650 pt
チーム七尾百合子96位	9526 pt
チーム七尾百合子97位	9363 pt
チーム七尾百合子98位	9257 pt
チーム七尾百合子99位	9212 pt
チーム七尾百合子100位	8986 pt
チーム七尾百合子111位	6769 pt
チーム七尾百合子112位	6409 pt
チーム七尾百合子113位	6363 pt
チーム七尾百合子114位	6293 pt
チーム七尾百合子115位	6207 pt
チーム七尾百合子116位	6188 pt
チーム七尾百合子117位	6141 pt
チーム七尾百合子118位	5903 pt
チーム七尾百合子119位	5869 pt
チーム七尾百合子120位	5725 pt
チーム七尾百合子131位	5103 pt
チーム七尾百合子132位	5102 pt
チーム七尾百合子133位	5079 pt
チーム七尾百合子134位	5073 pt
チーム七尾百合子135位	4932 pt
チーム七尾百合子136位	4928 pt
チーム七尾百合子137位	4919 pt
チーム七尾百合子138位	4862 pt
チーム七尾百合子139位	4813 pt
チーム七尾百合子140位	4717 pt
チーム七尾百合子151位	4178 pt
チーム七尾百合子152位	4123 pt
チーム七尾百合子153位	4114 pt
チーム七尾百合子154位	4074 pt
チーム七尾百合子155位	4029 pt
チーム七尾百合子156位	3992 pt
チーム七尾百合子157位	3986 pt
チーム七尾百合子158位	3858 pt
チーム七尾百合子159位	3855 pt
チーム七尾百合子160位	3801 pt
チーム七尾百合子171位	3202 pt
チーム七尾百合子172位	3108 pt
チーム七尾百合子173位	3063 pt
チーム七尾百合子174位	3050 pt
チーム七尾百合子175位	3049 pt
チーム七尾百合子176位	3016 pt
チーム七尾百合子177位	2937 pt
チーム七尾百合子178位	2917 pt
チーム七尾百合子179位	2901 pt
チーム七尾百合子180位	2847 pt
チーム七尾百合子191位	2621 pt
チーム七尾百合子192位	2476 pt
チーム七尾百合子193位	2461 pt
チーム七尾百合子194位	2428 pt
チーム七尾百合子195位	2424 pt
チーム七尾百合子196位	2378 pt
チーム七尾百合子197位	2345 pt
チーム七尾百合子198位	2297 pt
チーム七尾百合子199位	2277 pt
チーム七尾百合子200位	2269 pt
チーム七尾百合子211位	2004 pt
チーム七尾百合子212位	2003 pt
チーム七尾百合子213位	1974 pt
チーム七尾百合子214位	1940 pt
チーム七尾百合子215位	1903 pt
チーム七尾百合子216位	1867 pt
チーム七尾百合子217位	1866 pt
チーム七尾百合子218位	1792 pt
チーム七尾百合子219位	1792 pt
チーム七尾百合子220位	1778 pt
チーム七尾百合子231位	1626 pt
チーム七尾百合子232位	1580 pt
チーム七尾百合子233位	1573 pt
チーム七尾百合子234位	1560 pt
チーム七尾百合子235位	1544 pt
チーム七尾百合子236位	1459 pt
チーム七尾百合子237位	1452 pt
チーム七尾百合子238位	1445 pt
チーム七尾百合子239位	1436 pt
チーム七尾百合子240位	1419 pt
チーム七尾百合子251位	1295 pt
チーム七尾百合子252位	1221 pt
チーム七尾百合子253位	1184 pt
チーム七尾百合子254位	1175 pt
チーム七尾百合子255位	1169 pt
チーム七尾百合子256位	1157 pt
チーム七尾百合子257位	1150 pt
チーム七尾百合子258位	1140 pt
チーム七尾百合子259位	1131 pt
チーム七尾百合子260位	1123 pt
チーム七尾百合子271位	1065 pt
チーム七尾百合子272位	1062 pt
チーム七尾百合子273位	1055 pt
チーム七尾百合子274位	1053 pt
チーム七尾百合子275位	1038 pt
チーム七尾百合子276位	1037 pt
チーム七尾百合子277位	1035 pt
チーム七尾百合子278位	1027 pt
チーム七尾百合子279位	1023 pt
チーム七尾百合子280位	1010 pt
チーム七尾百合子291位	835 pt
チーム七尾百合子292位	828 pt
チーム七尾百合子293位	814 pt
チーム七尾百合子294位	793 pt
チーム七尾百合子295位	793 pt
チーム七尾百合子296位	777 pt
チーム七尾百合子297位	773 pt
チーム七尾百合子298位	768 pt
チーム七尾百合子299位	764 pt
チーム七尾百合子300位	759 pt
チーム高山紗代子51位	25508 pt
チーム高山紗代子52位	25202 pt
チーム高山紗代子53位	24881 pt
チーム高山紗代子54位	24122 pt
チーム高山紗代子55位	24001 pt
チーム高山紗代子56位	23687 pt
チーム高山紗代子57位	23605 pt
チーム高山紗代子58位	23187 pt
チーム高山紗代子59位	23035 pt
チーム高山紗代子60位	22941 pt
チーム高山紗代子71位	19555 pt
チーム高山紗代子72位	18654 pt
チーム高山紗代子73位	18486 pt
チーム高山紗代子74位	17486 pt
チーム高山紗代子75位	17351 pt
チーム高山紗代子76位	17195 pt
チーム高山紗代子77位	16942 pt
チーム高山紗代子78位	16791 pt
チーム高山紗代子79位	16694 pt
チーム高山紗代子80位	16645 pt
チーム高山紗代子91位	13276 pt
チーム高山紗代子92位	12418 pt
チーム高山紗代子93位	12108 pt
チーム高山紗代子94位	12069 pt
チーム高山紗代子95位	11849 pt
チーム高山紗代子96位	11789 pt
チーム高山紗代子97位	11784 pt
チーム高山紗代子98位	11494 pt
チーム高山紗代子99位	11382 pt
チーム高山紗代子100位	11343 pt
チーム高山紗代子111位	8511 pt
チーム高山紗代子112位	8397 pt
チーム高山紗代子113位	8064 pt
チーム高山紗代子114位	7979 pt
チーム高山紗代子115位	7770 pt
チーム高山紗代子116位	7691 pt
