100位	115,166,453 pt
20位	233,375,163 pt
※04/12 18:03 集計時点 BYそくどん


100位	104,703,324 pt
500位	49,514,036 pt
1200位	15,939,667 pt
1300位	13,462,129 pt
1000位	21,288,716 pt
	1位	785,709,801 pt
10位	373,441,328 pt
	11位	363,165,829 pt
20位	230,859,550 pt
※04/12 18:01 集計時点 BYそくどん


100位	104,703,324 pt
500位	49,514,036 pt
1200位	15,939,667 pt
1300位	13,462,129 pt
1000位	21,288,716 pt
	1位	785,709,801 pt
10位	373,441,328 pt
	11位	363,165,829 pt
20位	230,859,550 pt
※04/12 18:00 集計時点 BYそくどん


100位	104,703,324 pt
500位	49,514,036 pt
1200位	15,939,667 pt
1300位	13,462,129 pt
1000位	21,288,716 pt
	1位	785,709,801 pt
10位	373,441,328 pt
	11位	363,165,829 pt
20位	230,859,550 pt
※04/12 17:59 集計時点 BYそくどん


100位	104,703,324 pt
500位	49,514,036 pt
1200位	15,939,667 pt
1300位	13,440,688 pt
1000位	21,288,716 pt
	1位	785,709,801 pt
10位	373,441,328 pt
	11位	363,165,829 pt
20位	230,859,550 pt
※04/12 17:58 集計時点 BYそくどん


100位	104,703,324 pt
500位	49,514,036 pt
1200位	15,909,604 pt
1300位	13,440,688 pt
1000位	21,288,716 pt
	1位	785,709,801 pt
10位	373,441,328 pt
	11位	363,165,829 pt
20位	230,859,550 pt
※04/12 17:57 集計時点 BYそくどん


100位	104,703,324 pt
500位	49,514,036 pt
1200位	15,909,604 pt
1300位	13,440,688 pt
1000位	21,288,716 pt
	1位	785,709,801 pt
10位	373,441,328 pt
	11位	363,165,829 pt
20位	230,859,550 pt
※04/12 17:56 集計時点 BYそくどん


100位	104,703,324 pt
500位	49,461,121 pt
1200位	15,909,604 pt
1300位	13,440,688 pt
1000位	21,288,716 pt
	1位	785,709,801 pt
10位	373,441,328 pt
	11位	363,165,829 pt
20位	230,859,550 pt
※04/12 17:55 集計時点 BYそくどん


100位	104,703,324 pt
500位	49,461,121 pt
1200位	15,909,604 pt
1300位	13,430,958 pt
1000位	21,282,255 pt
	1位	785,709,801 pt
10位	373,441,328 pt
	11位	363,165,829 pt
20位	230,859,074 pt
※04/12 17:53 集計時点 BYそくどん


100位	104,703,324 pt
500位	49,461,121 pt
1200位	15,870,858 pt
1300位	13,422,886 pt
1000位	21,282,255 pt
	1位	785,709,801 pt
10位	373,441,328 pt
	11位	363,165,829 pt
20位	230,859,074 pt
※04/12 17:51 集計時点 BYそくどん


100位	104,703,324 pt
500位	49,461,121 pt
1200位	15,870,858 pt
1300位	13,422,886 pt
1000位	21,282,255 pt
	1位	785,709,801 pt
10位	373,441,328 pt
	11位	363,165,829 pt
20位	230,859,074 pt
※04/12 17:50 集計時点 BYそくどん


100位	104,703,324 pt
500位	49,461,121 pt
1200位	15,870,858 pt
1300位	13,422,886 pt
1000位	21,243,237 pt
	1位	785,709,801 pt
10位	373,441,328 pt
	11位	363,165,829 pt
20位	230,859,074 pt
※04/12 17:49 集計時点 BYそくどん


100位	104,703,324 pt
500位	49,461,121 pt
1200位	15,870,858 pt
1300位	13,422,886 pt
1000位	21,241,560 pt
	1位	785,709,801 pt
10位	373,441,328 pt
	11位	363,165,829 pt
20位	230,859,074 pt
※04/12 17:48 集計時点 BYそくどん


100位	104,703,324 pt
500位	49,182,755 pt
1200位	15,870,858 pt
1300位	13,422,886 pt
1000位	21,241,560 pt
	1位	785,709,801 pt
10位	373,441,328 pt
	11位	363,165,829 pt
20位	230,859,074 pt
※04/12 17:46 集計時点 BYそくどん


100位	104,703,324 pt
500位	49,182,755 pt
1200位	15,870,858 pt
1300位	13,415,670 pt
1000位	21,241,560 pt
	1位	785,709,801 pt
10位	373,441,328 pt
	11位	363,165,829 pt
20位	230,859,074 pt
※04/12 17:45 集計時点 BYそくどん


100位	104,703,324 pt
500位	49,182,755 pt
1200位	15,870,858 pt
1300位	13,415,670 pt
1000位	21,241,560 pt
	1位	785,709,801 pt
10位	373,441,192 pt
	11位	363,165,829 pt
20位	225,243,209 pt
※04/12 17:43 集計時点 BYそくどん


100位	104,703,324 pt
500位	49,182,755 pt
1200位	15,870,858 pt
1300位	13,415,670 pt
1000位	21,241,560 pt
	1位	785,709,801 pt
10位	373,441,192 pt
	11位	363,165,829 pt
20位	225,243,209 pt
※04/12 17:41 集計時点 BYそくどん


100位	104,703,324 pt
500位	49,182,755 pt
1200位	15,870,858 pt
1300位	13,415,670 pt
1000位	21,241,560 pt
	1位	785,709,801 pt
10位	373,441,192 pt
	11位	363,165,829 pt
20位	225,243,209 pt
※04/12 17:40 集計時点 BYそくどん


100位	104,703,324 pt
500位	49,182,755 pt
1200位	15,870,858 pt
1300位	13,415,670 pt
1000位	21,241,560 pt
	1位	785,709,801 pt
10位	373,441,192 pt
	11位	363,165,829 pt
20位	225,243,209 pt
※04/12 17:39 集計時点 BYそくどん


100位	104,703,324 pt
500位	49,182,755 pt
1200位	15,870,858 pt
1300位	13,415,670 pt
1000位	21,241,560 pt
	1位	785,709,801 pt
10位	373,441,192 pt
	11位	363,165,829 pt
20位	225,243,209 pt
※04/12 17:38 集計時点 BYそくどん


100位	104,703,324 pt
500位	49,145,378 pt
1200位	15,870,858 pt
1300位	13,415,670 pt
1000位	21,235,245 pt
	1位	785,709,801 pt
10位	373,441,192 pt
	11位	363,165,829 pt
20位	225,243,209 pt
※04/12 17:36 集計時点 BYそくどん


100位	104,703,324 pt
500位	49,145,378 pt
1200位	15,861,779 pt
1300位	13,385,905 pt
1000位	21,235,245 pt
	1位	785,709,801 pt
10位	373,441,192 pt
	11位	363,164,901 pt
20位	225,243,209 pt
※04/12 17:35 集計時点 BYそくどん


100位	104,703,324 pt
500位	49,145,378 pt
1200位	15,836,691 pt
1300位	13,385,905 pt
1000位	21,235,245 pt
	1位	785,709,801 pt
10位	373,441,192 pt
	11位	363,164,769 pt
20位	225,243,209 pt
※04/12 17:33 集計時点 BYそくどん


100位	104,703,324 pt
500位	49,006,583 pt
1200位	15,836,691 pt
1300位	13,385,905 pt
1000位	21,235,245 pt
	1位	785,709,801 pt
10位	373,441,192 pt
	11位	363,164,769 pt
20位	225,243,209 pt
※04/12 17:31 集計時点 BYそくどん


100位	104,703,324 pt
500位	48,788,946 pt
1200位	15,836,691 pt
1300位	13,385,905 pt
1000位	21,234,264 pt
	1位	785,709,801 pt
10位	373,441,192 pt
	11位	363,164,769 pt
20位	225,243,209 pt
※04/12 17:30 集計時点 BYそくどん


100位	104,703,324 pt
500位	48,784,280 pt
1200位	15,836,691 pt
1300位	13,385,905 pt
1000位	21,234,264 pt
	1位	785,709,801 pt
10位	373,441,192 pt
	11位	363,164,769 pt
20位	225,243,209 pt
※04/12 17:29 集計時点 BYそくどん


100位	104,703,324 pt
500位	48,784,280 pt
1200位	15,823,004 pt
1300位	13,385,905 pt
1000位	21,234,264 pt
	1位	785,709,801 pt
10位	373,441,192 pt
	11位	363,164,769 pt
20位	225,243,209 pt
※04/12 17:28 集計時点 BYそくどん


100位	104,703,324 pt
500位	48,784,280 pt
1200位	15,818,226 pt
1300位	13,385,905 pt
1000位	21,216,570 pt
	1位	785,709,801 pt
10位	373,441,192 pt
	11位	363,164,769 pt
20位	225,243,209 pt
※04/12 17:26 集計時点 BYそくどん


100位	104,703,324 pt
500位	48,784,280 pt
1200位	15,818,226 pt
1300位	13,385,905 pt
1000位	21,216,570 pt
	1位	785,709,801 pt
10位	373,441,192 pt
	11位	363,164,769 pt
20位	225,243,209 pt
※04/12 17:25 集計時点 BYそくどん


100位	104,703,324 pt
500位	48,784,280 pt
1200位	15,818,226 pt
1300位	13,385,905 pt
1000位	21,216,570 pt
	1位	785,709,801 pt
10位	373,441,192 pt
	11位	363,164,769 pt
20位	225,243,209 pt
※04/12 17:24 集計時点 BYそくどん


100位	104,703,324 pt
500位	48,784,280 pt
1200位	15,818,226 pt
1300位	13,385,905 pt
1000位	21,216,570 pt
	1位	785,709,801 pt
10位	373,441,192 pt
	11位	363,164,769 pt
20位	225,243,209 pt
※04/12 17:23 集計時点 BYそくどん


100位	104,703,324 pt
500位	48,784,280 pt
1200位	15,722,114 pt
1300位	13,385,905 pt
1000位	21,188,893 pt
	1位	785,709,801 pt
10位	373,441,192 pt
	11位	363,164,769 pt
20位	225,243,209 pt
※04/12 17:21 集計時点 BYそくどん


100位	104,703,324 pt
500位	48,784,280 pt
1200位	15,722,114 pt
1300位	13,385,905 pt
1000位	21,188,893 pt
	1位	785,709,801 pt
10位	373,441,192 pt
	11位	363,164,769 pt
20位	225,243,209 pt
※04/12 17:20 集計時点 BYそくどん


100位	104,703,324 pt
500位	48,744,316 pt
1200位	15,722,114 pt
1300位	13,385,905 pt
1000位	21,188,893 pt
	1位	785,709,801 pt
10位	373,441,192 pt
	11位	363,164,769 pt
20位	225,243,209 pt
※04/12 17:19 集計時点 BYそくどん


100位	104,703,324 pt
500位	48,744,316 pt
1200位	15,699,383 pt
1300位	13,240,908 pt
1000位	21,188,893 pt
	1位	785,709,801 pt
10位	373,441,192 pt
	11位	363,164,769 pt
20位	225,243,209 pt
※04/12 17:18 集計時点 BYそくどん


100位	104,703,324 pt
500位	48,711,546 pt
1200位	15,699,383 pt
1300位	13,186,509 pt
1000位	21,188,893 pt
	1位	785,709,801 pt
10位	373,441,192 pt
	11位	363,164,769 pt
20位	225,243,209 pt
※04/12 17:16 集計時点 BYそくどん


100位	104,703,324 pt
500位	48,711,546 pt
1200位	15,699,383 pt
1300位	13,186,509 pt
1000位	21,188,893 pt
	1位	785,709,801 pt
10位	373,441,192 pt
	11位	362,897,236 pt
20位	225,243,209 pt
※04/12 17:15 集計時点 BYそくどん


100位	104,703,324 pt
500位	48,711,546 pt
1200位	15,699,383 pt
1300位	13,186,509 pt
1000位	21,188,893 pt
	1位	785,709,801 pt
10位	373,441,192 pt
	11位	362,897,236 pt
20位	225,243,209 pt
※04/12 17:13 集計時点 BYそくどん


100位	104,703,324 pt
500位	48,711,546 pt
1200位	15,699,383 pt
1300位	13,186,509 pt
1000位	21,188,893 pt
	1位	785,709,801 pt
10位	373,441,192 pt
	11位	362,897,236 pt
20位	225,243,209 pt
※04/12 17:11 集計時点 BYそくどん


100位	104,703,324 pt
500位	48,711,546 pt
1200位	15,699,383 pt
1300位	13,186,509 pt
1000位	21,188,893 pt
	1位	785,709,801 pt
10位	373,441,192 pt
	11位	362,897,236 pt
20位	225,243,209 pt
※04/12 17:10 集計時点 BYそくどん


100位	104,374,755 pt
500位	48,711,546 pt
1200位	15,699,383 pt
1300位	13,186,509 pt
1000位	21,115,730 pt
	1位	785,709,801 pt
10位	373,441,192 pt
	11位	362,897,236 pt
20位	225,243,209 pt
※04/12 17:09 集計時点 BYそくどん


100位	104,374,755 pt
500位	48,711,546 pt
1200位	15,699,383 pt
1300位	13,186,509 pt
1000位	21,115,730 pt
	1位	785,709,801 pt
10位	373,373,080 pt
	11位	362,897,236 pt
20位	225,243,209 pt
※04/12 17:08 集計時点 BYそくどん


100位	104,374,755 pt
500位	48,711,546 pt
1200位	15,687,982 pt
1300位	13,136,661 pt
1000位	21,114,275 pt
	1位	785,709,801 pt
10位	373,373,080 pt
	11位	362,897,236 pt
20位	225,243,209 pt
※04/12 17:06 集計時点 BYそくどん


100位	104,374,755 pt
500位	48,701,643 pt
1200位	15,687,982 pt
1300位	13,136,661 pt
1000位	21,114,275 pt
	1位	785,709,801 pt
10位	373,373,080 pt
	11位	362,897,236 pt
20位	225,243,209 pt
※04/12 17:05 集計時点 BYそくどん


100位	104,374,755 pt
500位	48,701,643 pt
1200位	15,667,769 pt
1300位	13,136,661 pt
1000位	21,086,714 pt
	1位	785,709,801 pt
10位	373,373,080 pt
	11位	362,897,236 pt
20位	225,243,209 pt
※04/12 17:03 集計時点 BYそくどん


100位	104,374,755 pt
500位	48,701,643 pt
1200位	15,667,769 pt
1300位	13,133,341 pt
1000位	21,086,714 pt
	1位	785,709,801 pt
10位	373,373,080 pt
	11位	362,897,236 pt
20位	225,243,209 pt
※04/12 17:01 集計時点 BYそくどん


100位	104,374,755 pt
500位	48,701,643 pt
1200位	15,667,769 pt
1300位	13,133,341 pt
1000位	21,086,714 pt
	1位	785,709,801 pt
10位	373,097,903 pt
	11位	362,897,236 pt
20位	225,243,209 pt
※04/12 17:00 集計時点 BYそくどん


100位	104,374,755 pt
500位	48,701,643 pt
1200位	15,667,769 pt
1300位	13,133,341 pt
1000位	21,086,714 pt
	1位	785,709,801 pt
10位	373,097,903 pt
	11位	362,897,236 pt
20位	225,243,209 pt
※04/12 16:59 集計時点 BYそくどん


100位	104,374,755 pt
500位	48,701,643 pt
1200位	15,626,505 pt
1300位	13,133,341 pt
1000位	21,086,714 pt
	1位	785,709,801 pt
10位	372,845,657 pt
	11位	362,897,236 pt
20位	225,020,406 pt
※04/12 16:58 集計時点 BYそくどん


100位	104,374,755 pt
500位	48,701,643 pt
1200位	15,625,295 pt
1300位	13,133,341 pt
1000位	21,086,714 pt
	1位	785,709,801 pt
10位	365,651,798 pt
	11位	362,897,236 pt
20位	225,019,002 pt
※04/12 16:56 集計時点 BYそくどん


100位	104,374,755 pt
500位	48,701,643 pt
1200位	15,625,295 pt
1300位	13,133,341 pt
1000位	21,086,714 pt
	1位	785,709,801 pt
10位	363,301,326 pt
	11位	362,897,236 pt
20位	224,797,331 pt
※04/12 16:55 集計時点 BYそくどん


100位	104,374,755 pt
500位	48,701,643 pt
1200位	15,622,857 pt
1300位	13,133,341 pt
1000位	21,082,408 pt
	1位	785,709,801 pt
10位	363,301,326 pt
	11位	362,897,236 pt
20位	224,797,331 pt
※04/12 16:53 集計時点 BYそくどん


100位	104,374,755 pt
500位	48,701,643 pt
1200位	15,601,325 pt
1300位	13,122,229 pt
1000位	21,082,408 pt
	1位	785,709,801 pt
10位	363,301,326 pt
	11位	362,897,236 pt
20位	224,797,331 pt
※04/12 16:51 集計時点 BYそくどん


100位	104,278,031 pt
500位	48,701,643 pt
1200位	15,601,325 pt
1300位	13,122,229 pt
1000位	21,082,408 pt
	1位	785,709,801 pt
10位	363,301,326 pt
	11位	362,897,236 pt
20位	224,797,331 pt
※04/12 16:50 集計時点 BYそくどん


100位	104,278,031 pt
500位	48,701,643 pt
1200位	15,601,325 pt
1300位	13,122,229 pt
1000位	21,074,817 pt
	1位	785,709,801 pt
10位	363,301,326 pt
	11位	362,897,236 pt
20位	224,797,331 pt
※04/12 16:49 集計時点 BYそくどん


100位	104,249,393 pt
500位	48,701,643 pt
1200位	15,601,325 pt
1300位	13,122,229 pt
1000位	21,074,817 pt
	1位	785,709,801 pt
10位	363,301,326 pt
	11位	362,897,236 pt
20位	224,797,331 pt
※04/12 16:48 集計時点 BYそくどん


100位	104,249,393 pt
500位	48,701,643 pt
1200位	15,601,325 pt
1300位	13,122,229 pt
1000位	21,071,586 pt
	1位	785,709,801 pt
10位	363,300,534 pt
	11位	362,897,236 pt
20位	224,797,331 pt
※04/12 16:46 集計時点 BYそくどん


100位	104,249,393 pt
500位	48,701,643 pt
1200位	15,601,325 pt
1300位	13,044,570 pt
1000位	21,071,586 pt
	1位	785,709,801 pt
10位	363,300,534 pt
	11位	362,897,236 pt
20位	224,797,331 pt
※04/12 16:45 集計時点 BYそくどん


100位	104,249,393 pt
500位	48,701,643 pt
1200位	15,601,325 pt
1300位	13,044,570 pt
1000位	21,071,586 pt
	1位	785,709,801 pt
10位	363,300,398 pt
	11位	362,897,236 pt
20位	224,797,331 pt
※04/12 16:43 集計時点 BYそくどん


100位	104,039,104 pt
500位	48,701,643 pt
1200位	15,601,325 pt
1300位	13,044,570 pt
1000位	21,047,676 pt
	1位	785,709,801 pt
10位	363,300,398 pt
	11位	362,897,236 pt
20位	224,797,331 pt
※04/12 16:41 集計時点 BYそくどん


100位	104,039,104 pt
500位	48,701,643 pt
1200位	15,601,325 pt
1300位	13,044,570 pt
1000位	21,047,676 pt
	1位	785,709,801 pt
10位	363,300,398 pt
	11位	362,897,236 pt
20位	224,797,331 pt
※04/12 16:40 集計時点 BYそくどん


100位	104,039,104 pt
500位	48,701,643 pt
1200位	15,601,325 pt
1300位	13,044,570 pt
1000位	21,047,676 pt
	1位	785,709,801 pt
10位	363,300,398 pt
	11位	362,897,236 pt
20位	224,797,331 pt
※04/12 16:39 集計時点 BYそくどん


100位	104,039,104 pt
500位	48,701,643 pt
1200位	15,601,325 pt
1300位	13,044,570 pt
1000位	21,047,676 pt
	1位	785,709,801 pt
10位	363,300,398 pt
	11位	362,897,236 pt
20位	224,797,331 pt
※04/12 16:38 集計時点 BYそくどん


100位	104,039,104 pt
500位	48,701,643 pt
1200位	15,601,325 pt
1300位	13,044,570 pt
1000位	21,047,676 pt
	1位	785,709,801 pt
10位	363,300,398 pt
	11位	362,897,236 pt
20位	224,797,331 pt
※04/12 16:36 集計時点 BYそくどん


100位	104,039,104 pt
500位	48,701,643 pt
1200位	15,601,325 pt
1300位	13,044,570 pt
1000位	21,047,676 pt
	1位	785,709,801 pt
10位	363,300,262 pt
	11位	362,897,236 pt
20位	224,797,331 pt
※04/12 16:35 集計時点 BYそくどん


100位	104,039,104 pt
500位	48,701,643 pt
1200位	15,601,325 pt
1300位	13,044,570 pt
1000位	21,043,552 pt
	1位	785,709,801 pt
10位	363,300,262 pt
	11位	362,897,236 pt
20位	224,797,331 pt
※04/12 16:33 集計時点 BYそくどん


100位	103,921,086 pt
500位	48,701,643 pt
1200位	15,601,325 pt
1300位	13,044,570 pt
1000位	21,038,330 pt
	1位	785,709,801 pt
10位	363,300,262 pt
	11位	362,897,236 pt
20位	223,951,419 pt
※04/12 16:31 集計時点 BYそくどん


100位	103,921,086 pt
500位	48,701,643 pt
1200位	15,601,325 pt
1300位	13,044,570 pt
1000位	21,038,330 pt
	1位	785,709,801 pt
10位	363,300,262 pt
	11位	362,897,236 pt
20位	223,718,283 pt
※04/12 16:30 集計時点 BYそくどん


100位	103,921,086 pt
500位	48,701,643 pt
1200位	15,601,325 pt
1300位	13,044,570 pt
1000位	20,971,271 pt
	1位	785,709,801 pt
10位	363,300,262 pt
	11位	362,897,236 pt
20位	223,484,355 pt
※04/12 16:29 集計時点 BYそくどん


100位	103,921,086 pt
500位	48,701,643 pt
1200位	15,601,325 pt
1300位	13,044,570 pt
1000位	20,971,271 pt
	1位	785,709,801 pt
10位	363,300,262 pt
	11位	362,897,236 pt
20位	223,190,068 pt
※04/12 16:28 集計時点 BYそくどん


100位	103,921,086 pt
500位	48,701,643 pt
1200位	15,601,325 pt
1300位	13,044,570 pt
1000位	20,971,271 pt
	1位	785,709,801 pt
10位	363,300,262 pt
	11位	362,897,236 pt
20位	222,987,507 pt
※04/12 16:26 集計時点 BYそくどん


100位	103,921,086 pt
500位	48,701,643 pt
1200位	15,601,325 pt
1300位	13,044,570 pt
1000位	20,971,271 pt
	1位	785,709,801 pt
10位	363,300,262 pt
	11位	362,897,236 pt
20位	222,754,371 pt
※04/12 16:25 集計時点 BYそくどん


100位	103,921,086 pt
500位	48,701,643 pt
1200位	15,601,325 pt
1300位	13,044,570 pt
1000位	20,971,271 pt
	1位	785,709,801 pt
10位	363,300,058 pt
	11位	362,897,236 pt
20位	222,754,235 pt
※04/12 16:23 集計時点 BYそくどん


100位	103,921,086 pt
500位	48,701,643 pt
1200位	15,601,325 pt
1300位	13,044,570 pt
1000位	20,927,512 pt
	1位	785,709,801 pt
10位	363,298,382 pt
	11位	362,897,236 pt
20位	222,754,235 pt
※04/12 16:21 集計時点 BYそくどん


100位	103,921,086 pt
500位	48,701,643 pt
1200位	15,596,351 pt
1300位	13,044,570 pt
1000位	20,908,214 pt
	1位	785,709,801 pt
10位	363,298,382 pt
	11位	362,897,236 pt
20位	222,754,235 pt
※04/12 16:20 集計時点 BYそくどん


100位	103,921,086 pt
500位	48,701,643 pt
1200位	15,596,351 pt
1300位	13,044,570 pt
1000位	20,908,214 pt
	1位	785,709,801 pt
10位	363,298,382 pt
	11位	362,897,236 pt
20位	222,754,235 pt
※04/12 16:19 集計時点 BYそくどん


100位	103,921,086 pt
500位	48,701,643 pt
1200位	15,596,351 pt
1300位	13,044,570 pt
1000位	20,908,214 pt
	1位	785,709,801 pt
10位	363,298,382 pt
	11位	362,897,236 pt
20位	222,754,235 pt
※04/12 16:19 集計時点 BYそくどん


100位	103,921,086 pt
500位	48,701,643 pt
1200位	15,596,351 pt
1300位	13,044,570 pt
1000位	20,908,214 pt
	1位	785,709,801 pt
10位	363,298,382 pt
	11位	362,897,236 pt
20位	222,754,235 pt
※04/12 16:17 集計時点 BYそくどん


100位	103,921,086 pt
500位	48,701,643 pt
1200位	15,596,351 pt
1300位	13,044,570 pt
1000位	20,908,214 pt
	1位	785,709,801 pt
10位	363,298,382 pt
	11位	362,897,236 pt
20位	222,754,235 pt
※04/12 16:16 集計時点 BYそくどん


100位	103,921,086 pt
500位	48,701,643 pt
1200位	15,596,351 pt
1300位	13,044,570 pt
1000位	20,908,214 pt
	1位	785,709,801 pt
10位	363,298,382 pt
	11位	362,897,236 pt
20位	222,754,235 pt
※04/12 16:15 集計時点 BYそくどん


100位	103,921,086 pt
500位	48,701,643 pt
1200位	15,596,351 pt
1300位	13,044,570 pt
1000位	20,891,167 pt
	1位	785,709,801 pt
10位	363,298,382 pt
	11位	362,633,524 pt
20位	222,754,235 pt
※04/12 16:13 集計時点 BYそくどん


100位	103,921,086 pt
500位	48,701,643 pt
1200位	15,596,351 pt
1300位	13,044,570 pt
1000位	20,891,167 pt
	1位	785,709,801 pt
10位	363,298,382 pt
	11位	362,633,524 pt
20位	222,284,141 pt
※04/12 16:11 集計時点 BYそくどん


100位	103,921,086 pt
500位	48,701,643 pt
1200位	15,596,351 pt
1300位	13,044,570 pt
1000位	20,844,605 pt
	1位	785,709,801 pt
10位	363,298,382 pt
	11位	362,633,524 pt
20位	222,284,141 pt
※04/12 16:10 集計時点 BYそくどん


100位	103,921,086 pt
500位	48,701,643 pt
1200位	15,596,351 pt
1300位	13,044,570 pt
1000位	20,844,605 pt
	1位	785,709,801 pt
10位	363,298,382 pt
	11位	362,633,524 pt
20位	221,752,896 pt
※04/12 16:09 集計時点 BYそくどん


100位	103,921,086 pt
500位	48,602,250 pt
1200位	15,583,903 pt
1300位	13,044,400 pt
1000位	20,813,419 pt
	1位	785,709,801 pt
10位	363,298,382 pt
	11位	362,633,524 pt
20位	221,527,267 pt
※04/12 16:08 集計時点 BYそくどん


100位	103,920,814 pt
500位	48,602,250 pt
1200位	15,571,310 pt
1300位	13,020,484 pt
1000位	20,813,419 pt
	1位	785,709,801 pt
10位	363,298,382 pt
	11位	362,633,524 pt
20位	221,030,419 pt
※04/12 16:06 集計時点 BYそくどん


100位	103,920,814 pt
500位	48,602,250 pt
1200位	15,571,310 pt
1300位	13,005,836 pt
1000位	20,813,419 pt
	1位	785,709,801 pt
10位	363,298,382 pt
	11位	362,346,881 pt
20位	220,755,242 pt
※04/12 16:05 集計時点 BYそくどん


100位	103,920,814 pt
500位	48,602,250 pt
1200位	15,571,310 pt
1300位	13,005,836 pt
1000位	20,813,419 pt
	1位	785,709,801 pt
10位	363,298,382 pt
	11位	362,346,881 pt
20位	220,013,000 pt
※04/12 16:03 集計時点 BYそくどん


100位	103,920,814 pt
500位	48,602,250 pt
1200位	15,571,310 pt
1300位	13,005,836 pt
1000位	20,813,419 pt
	1位	785,709,801 pt
10位	363,298,382 pt
	11位	362,346,881 pt
20位	218,698,128 pt
※04/12 16:01 集計時点 BYそくどん


100位	103,920,814 pt
500位	48,602,250 pt
1200位	15,571,310 pt
1300位	13,005,836 pt
1000位	20,813,419 pt
	1位	785,709,801 pt
10位	363,298,382 pt
	11位	362,346,881 pt
20位	218,698,128 pt
※04/12 16:00 集計時点 BYそくどん


100位	103,920,814 pt
500位	48,602,250 pt
1200位	15,569,957 pt
1300位	13,005,836 pt
1000位	20,813,419 pt
	1位	785,709,801 pt
10位	363,298,382 pt
	11位	362,346,881 pt
20位	218,434,416 pt
※04/12 15:59 集計時点 BYそくどん


100位	103,920,814 pt
500位	48,602,250 pt
1200位	15,568,436 pt
1300位	13,005,836 pt
1000位	20,813,419 pt
	1位	785,709,801 pt
10位	363,298,382 pt
	11位	362,346,881 pt
20位	217,884,061 pt
※04/12 15:58 集計時点 BYそくどん


100位	103,907,656 pt
500位	48,602,250 pt
1200位	15,568,436 pt
1300位	13,005,836 pt
1000位	20,813,419 pt
	1位	785,709,801 pt
10位	363,298,382 pt
	11位	362,346,881 pt
20位	216,848,323 pt
※04/12 15:56 集計時点 BYそくどん


100位	103,907,656 pt
500位	48,602,250 pt
1200位	15,517,603 pt
1300位	13,005,836 pt
1000位	20,813,419 pt
	1位	785,709,801 pt
10位	363,046,136 pt
	11位	362,346,881 pt
20位	216,848,323 pt
※04/12 15:55 集計時点 BYそくどん


100位	102,974,964 pt
500位	48,581,719 pt
1200位	15,517,603 pt
1300位	13,005,836 pt
1000位	20,813,419 pt
	1位	785,709,801 pt
10位	362,346,881 pt
	11位	360,037,906 pt
20位	215,812,449 pt
※04/12 15:53 集計時点 BYそくどん


100位	102,974,964 pt
500位	48,581,719 pt
1200位	15,517,603 pt
1300位	13,005,836 pt
1000位	20,753,252 pt
	1位	785,709,801 pt
10位	362,346,881 pt
	11位	360,037,906 pt
20位	214,913,509 pt
※04/12 15:51 集計時点 BYそくどん


100位	102,974,964 pt
500位	48,524,850 pt
1200位	15,517,603 pt
1300位	13,005,836 pt
1000位	20,753,252 pt
	1位	785,709,801 pt
10位	362,346,881 pt
	11位	360,037,906 pt
20位	213,961,854 pt
※04/12 15:50 集計時点 BYそくどん


100位	102,974,964 pt
500位	48,524,850 pt
1200位	15,517,603 pt
1300位	12,974,906 pt
1000位	20,753,252 pt
	1位	785,709,801 pt
10位	362,346,881 pt
	11位	360,037,906 pt
20位	213,728,514 pt
※04/12 15:49 集計時点 BYそくどん


100位	102,974,964 pt
500位	48,439,507 pt
1200位	15,517,603 pt
1300位	12,974,906 pt
1000位	20,753,252 pt
	1位	785,709,801 pt
10位	362,346,881 pt
	11位	360,037,906 pt
20位	213,728,514 pt
※04/12 15:48 集計時点 BYそくどん


100位	102,974,964 pt
500位	48,348,583 pt
1200位	15,517,603 pt
1300位	12,893,632 pt
1000位	20,753,252 pt
	1位	785,709,801 pt
10位	362,346,881 pt
	11位	360,037,906 pt
20位	213,300,460 pt
※04/12 15:46 集計時点 BYそくどん


100位	102,974,964 pt
500位	48,348,583 pt
1200位	15,517,603 pt
1300位	12,893,632 pt
1000位	20,734,447 pt
	1位	785,709,801 pt
10位	362,346,881 pt
	11位	360,037,906 pt
20位	213,300,460 pt
※04/12 15:45 集計時点 BYそくどん


100位	102,974,964 pt
500位	48,348,583 pt
1200位	15,517,603 pt
1300位	12,893,632 pt
1000位	20,734,447 pt
	1位	785,709,801 pt
10位	362,346,881 pt
	11位	360,037,906 pt
20位	213,078,789 pt
※04/12 15:43 集計時点 BYそくどん


100位	102,974,964 pt
500位	48,338,784 pt
1200位	15,517,603 pt
1300位	12,892,164 pt
1000位	20,734,447 pt
	1位	785,709,801 pt
10位	362,346,881 pt
	11位	360,037,906 pt
20位	212,352,627 pt
※04/12 15:41 集計時点 BYそくどん


100位	102,974,964 pt
500位	48,338,784 pt
1200位	15,517,603 pt
1300位	12,892,164 pt
1000位	20,734,447 pt
	1位	785,709,801 pt
