チーム春日未来1位	460259 pt
チーム大神環12位	120400 pt
チーム大神環13位	119880 pt
チーム大神環14位	115744 pt
チーム大神環15位	106063 pt
チーム大神環16位	86499 pt
チーム大神環17位	85895 pt
チーム大神環18位	83299 pt
チーム大神環19位	80556 pt
チーム大神環20位	80417 pt
チーム大神環21位	69751 pt
チーム大神環22位	69370 pt
チーム大神環23位	67602 pt
チーム大神環24位	65304 pt
チーム大神環25位	58459 pt
チーム大神環26位	57819 pt
チーム大神環27位	55914 pt
チーム大神環28位	55689 pt
チーム大神環29位	54825 pt
チーム大神環30位	53944 pt
チーム豊川風花1位	581275 pt
チーム豊川風花2位	401213 pt
チーム豊川風花3位	301746 pt
チーム豊川風花4位	281197 pt
チーム豊川風花5位	257982 pt
チーム豊川風花6位	248572 pt
チーム豊川風花7位	208147 pt
チーム豊川風花8位	122570 pt
チーム豊川風花9位	117078 pt
チーム豊川風花10位	112237 pt
チーム豊川風花11位	100294 pt
チーム豊川風花12位	91797 pt
チーム豊川風花13位	79580 pt
チーム豊川風花14位	74527 pt
チーム豊川風花15位	73589 pt
チーム豊川風花16位	62101 pt
チーム豊川風花17位	61611 pt
チーム豊川風花18位	61476 pt
チーム豊川風花19位	55120 pt
チーム豊川風花20位	48508 pt
チーム豊川風花21位	46394 pt
チーム豊川風花22位	45419 pt
チーム豊川風花23位	43206 pt
チーム豊川風花24位	42622 pt
チーム豊川風花25位	41535 pt
チーム豊川風花26位	39435 pt
チーム豊川風花27位	38756 pt
チーム豊川風花28位	37919 pt
チーム豊川風花29位	37368 pt
チーム豊川風花30位	37216 pt
チーム宮尾美也1位	1981171 pt
チーム宮尾美也2位	697950 pt
チーム宮尾美也3位	520961 pt
チーム宮尾美也4位	415301 pt
チーム宮尾美也5位	413805 pt
チーム宮尾美也6位	341538 pt
チーム宮尾美也7位	323844 pt
チーム宮尾美也8位	241357 pt
チーム宮尾美也9位	185617 pt
チーム宮尾美也10位	171482 pt
チーム宮尾美也11位	154432 pt
チーム宮尾美也12位	151066 pt
チーム宮尾美也13位	131079 pt
チーム宮尾美也14位	116766 pt
チーム宮尾美也15位	103683 pt
チーム宮尾美也16位	97567 pt
チーム宮尾美也17位	76516 pt
チーム宮尾美也18位	71174 pt
チーム宮尾美也19位	68136 pt
チーム宮尾美也20位	66926 pt
チーム宮尾美也21位	66484 pt
チーム宮尾美也22位	66303 pt
チーム宮尾美也23位	64110 pt
チーム宮尾美也24位	59994 pt
チーム宮尾美也25位	59004 pt
チーム宮尾美也26位	58165 pt
チーム宮尾美也27位	57529 pt
チーム宮尾美也28位	57234 pt
チーム宮尾美也29位	56966 pt
チーム宮尾美也30位	48201 pt
チーム福田のり子1位	382371 pt
チーム福田のり子2位	325559 pt
チーム福田のり子3位	215620 pt
チーム福田のり子4位	181364 pt
チーム福田のり子5位	165238 pt
チーム福田のり子6位	159571 pt
チーム福田のり子7位	142942 pt
チーム福田のり子8位	127178 pt
チーム福田のり子9位	125969 pt
チーム福田のり子10位	120742 pt
チーム福田のり子11位	120607 pt
チーム福田のり子12位	113986 pt
チーム福田のり子13位	113811 pt
チーム福田のり子14位	100276 pt
チーム福田のり子15位	97799 pt
チーム福田のり子16位	89268 pt
チーム福田のり子17位	82649 pt
チーム福田のり子18位	77051 pt
チーム福田のり子19位	72966 pt
チーム福田のり子20位	71082 pt
チーム福田のり子21位	68322 pt
チーム福田のり子22位	62219 pt
チーム福田のり子23位	61160 pt
チーム福田のり子24位	57830 pt
チーム福田のり子25位	47177 pt
チーム福田のり子26位	45678 pt
チーム福田のり子27位	44716 pt
チーム福田のり子28位	40732 pt
チーム福田のり子29位	39135 pt
チーム福田のり子30位	38056 pt
チーム真壁瑞希1位	1033601 pt
チーム真壁瑞希2位	431444 pt
チーム真壁瑞希3位	429106 pt
チーム真壁瑞希4位	417652 pt
チーム真壁瑞希5位	386861 pt
チーム真壁瑞希6位	266418 pt
チーム真壁瑞希7位	256486 pt
チーム真壁瑞希8位	253508 pt
チーム真壁瑞希9位	253468 pt
チーム真壁瑞希10位	247016 pt
チーム真壁瑞希11位	207845 pt
チーム真壁瑞希12位	190392 pt
チーム真壁瑞希13位	173752 pt
チーム真壁瑞希14位	155429 pt
チーム真壁瑞希15位	136059 pt
チーム真壁瑞希16位	125750 pt
チーム真壁瑞希17位	122929 pt
チーム真壁瑞希18位	121354 pt
チーム真壁瑞希19位	121273 pt
チーム真壁瑞希20位	116676 pt
チーム真壁瑞希21位	109595 pt
チーム真壁瑞希22位	106482 pt
チーム真壁瑞希23位	102550 pt
チーム真壁瑞希24位	97059 pt
チーム真壁瑞希25位	92008 pt
チーム真壁瑞希26位	89101 pt
チーム真壁瑞希27位	82930 pt
チーム真壁瑞希28位	81193 pt
チーム真壁瑞希29位	77972 pt
チーム真壁瑞希30位	73876 pt
チーム篠宮可憐1位	631474 pt
チーム篠宮可憐2位	611865 pt
チーム篠宮可憐3位	512696 pt
チーム篠宮可憐4位	391598 pt
チーム篠宮可憐5位	274574 pt
チーム篠宮可憐6位	274493 pt
チーム篠宮可憐7位	160182 pt
チーム篠宮可憐8位	140520 pt
チーム篠宮可憐9位	118760 pt
チーム篠宮可憐10位	117414 pt
チーム篠宮可憐11位	106561 pt
チーム篠宮可憐12位	105144 pt
チーム篠宮可憐13位	104497 pt
チーム篠宮可憐14位	93721 pt
チーム篠宮可憐15位	91850 pt
チーム篠宮可憐16位	88245 pt
チーム篠宮可憐17位	86051 pt
チーム篠宮可憐18位	84449 pt
チーム篠宮可憐19位	83797 pt
チーム篠宮可憐20位	83305 pt
チーム篠宮可憐21位	72968 pt
チーム篠宮可憐22位	64006 pt
チーム篠宮可憐23位	62916 pt
チーム篠宮可憐24位	62373 pt
チーム篠宮可憐25位	61332 pt
チーム篠宮可憐26位	60781 pt
チーム篠宮可憐27位	58785 pt
チーム篠宮可憐28位	57211 pt
チーム篠宮可憐29位	57014 pt
チーム篠宮可憐30位	56643 pt
チーム百瀬莉緒1位	1012452 pt
チーム百瀬莉緒2位	913625 pt
チーム百瀬莉緒3位	802446 pt
チーム百瀬莉緒4位	479760 pt
チーム百瀬莉緒5位	360561 pt
チーム百瀬莉緒6位	273406 pt
チーム百瀬莉緒7位	272763 pt
チーム百瀬莉緒8位	256901 pt
チーム百瀬莉緒9位	228074 pt
チーム百瀬莉緒10位	177999 pt
チーム百瀬莉緒11位	170385 pt
チーム百瀬莉緒12位	161731 pt
チーム百瀬莉緒13位	154050 pt
チーム百瀬莉緒14位	135857 pt
チーム百瀬莉緒15位	116429 pt
チーム百瀬莉緒16位	109122 pt
チーム百瀬莉緒17位	109103 pt
チーム百瀬莉緒18位	106444 pt
チーム百瀬莉緒19位	102004 pt
チーム百瀬莉緒20位	101512 pt
チーム百瀬莉緒21位	92359 pt
チーム百瀬莉緒22位	88544 pt
チーム百瀬莉緒23位	82999 pt
チーム百瀬莉緒24位	82841 pt
チーム百瀬莉緒25位	78469 pt
チーム百瀬莉緒26位	72588 pt
チーム百瀬莉緒27位	71799 pt
チーム百瀬莉緒28位	71095 pt
チーム百瀬莉緒29位	69243 pt
チーム百瀬莉緒30位	66611 pt
チーム永吉昴1位	1198563 pt
チーム永吉昴2位	719207 pt
チーム永吉昴3位	686358 pt
チーム永吉昴4位	575508 pt
チーム永吉昴5位	421987 pt
チーム永吉昴6位	389866 pt
チーム永吉昴7位	354852 pt
チーム永吉昴8位	287293 pt
チーム永吉昴9位	244601 pt
チーム永吉昴10位	219760 pt
チーム永吉昴11位	194716 pt
チーム永吉昴12位	144049 pt
チーム永吉昴13位	131258 pt
チーム永吉昴14位	127938 pt
チーム永吉昴15位	120894 pt
チーム永吉昴16位	120344 pt
チーム永吉昴17位	116418 pt
チーム永吉昴18位	111838 pt
チーム永吉昴19位	111555 pt
チーム永吉昴20位	103923 pt
チーム永吉昴21位	95135 pt
チーム永吉昴22位	94219 pt
チーム永吉昴23位	93890 pt
チーム永吉昴24位	86606 pt
チーム永吉昴25位	82764 pt
チーム永吉昴26位	76690 pt
チーム永吉昴27位	63802 pt
チーム永吉昴28位	61050 pt
チーム永吉昴29位	60978 pt
チーム永吉昴30位	60502 pt
チーム北上麗花1位	1054858 pt
チーム北上麗花2位	766318 pt
チーム北上麗花3位	536885 pt
チーム北上麗花4位	521691 pt
チーム北上麗花5位	346853 pt
チーム北上麗花6位	258363 pt
チーム北上麗花7位	219014 pt
チーム北上麗花8位	216495 pt
チーム北上麗花9位	214772 pt
チーム北上麗花10位	211869 pt
チーム北上麗花11位	208593 pt
チーム北上麗花12位	200793 pt
チーム北上麗花13位	188199 pt
チーム北上麗花14位	181753 pt
チーム北上麗花15位	172273 pt
チーム北上麗花16位	158996 pt
チーム北上麗花17位	156234 pt
チーム北上麗花18位	136701 pt
チーム北上麗花19位	114362 pt
チーム北上麗花20位	88599 pt
チーム北上麗花21位	74888 pt
チーム北上麗花22位	65466 pt
チーム北上麗花23位	64457 pt
チーム北上麗花24位	55188 pt
チーム北上麗花25位	54716 pt
チーム北上麗花26位	51750 pt
チーム北上麗花27位	50256 pt
チーム北上麗花28位	48962 pt
チーム北上麗花29位	46771 pt
チーム北上麗花30位	45940 pt
チーム周防桃子1位	966316 pt
チーム周防桃子2位	653923 pt
チーム周防桃子3位	611417 pt
チーム周防桃子4位	523659 pt
チーム周防桃子5位	502095 pt
チーム周防桃子6位	442637 pt
チーム周防桃子7位	404018 pt
チーム周防桃子8位	396667 pt
チーム周防桃子9位	328025 pt
チーム周防桃子10位	290098 pt
チーム周防桃子11位	258639 pt
チーム周防桃子12位	234873 pt
チーム周防桃子13位	226079 pt
チーム周防桃子14位	216890 pt
チーム周防桃子15位	195814 pt
チーム周防桃子16位	194758 pt
チーム周防桃子17位	180455 pt
チーム周防桃子18位	168089 pt
チーム周防桃子19位	155205 pt
チーム周防桃子20位	143015 pt
チーム周防桃子21位	133033 pt
チーム周防桃子22位	118992 pt
チーム周防桃子23位	112561 pt
チーム周防桃子24位	110511 pt
チーム周防桃子25位	109763 pt
チーム周防桃子26位	109750 pt
チーム周防桃子27位	100397 pt
チーム周防桃子28位	92862 pt
チーム周防桃子29位	91282 pt
チーム周防桃子30位	74720 pt
チームジュリア1位	396149 pt
チームジュリア2位	204694 pt
チームジュリア3位	184184 pt
チームジュリア4位	182113 pt
チームジュリア5位	167877 pt
チームジュリア6位	149700 pt
チームジュリア7位	148124 pt
チームジュリア8位	146731 pt
チームジュリア9位	134762 pt
チームジュリア10位	134736 pt
チームジュリア11位	115881 pt
チームジュリア12位	110690 pt
チームジュリア13位	108458 pt
チームジュリア14位	107209 pt
チームジュリア15位	98693 pt
チームジュリア16位	94288 pt
チームジュリア17位	91550 pt
チームジュリア18位	91070 pt
チームジュリア19位	90431 pt
チームジュリア20位	89142 pt
チームジュリア21位	89059 pt
チームジュリア22位	87306 pt
チームジュリア23位	83115 pt
チームジュリア24位	82666 pt
チームジュリア25位	81990 pt
チームジュリア26位	78498 pt
チームジュリア27位	77659 pt
チームジュリア28位	73345 pt
チームジュリア29位	72622 pt
チームジュリア30位	71416 pt
※03/17 16:31 集計時点のポイントですBY SKDN
