146位のチームA pt	2,232,449 pt
109位のチームH pt	3,223,754 pt
109位のチームI pt	3,816,000 pt
109位のチームJ pt	3,548,398 pt
※10/30(日)00:56 集計時点
109位のチームA pt	2,494,701 pt
109位のチームB pt	4,417,329 pt
109位のチームC pt	2,800,189 pt
109位のチームD pt	3,054,382 pt
109位のチームE pt	3,359,059 pt
109位のチームF pt	5,380,007 pt
109位のチームG pt	2,468,799 pt
109位のチームH pt	3,223,754 pt
109位のチームI pt	3,816,000 pt
109位のチームJ pt	3,548,398 pt
※10/30(日)00:57 集計時点
109位のチームA pt	2,494,701 pt
109位のチームB pt	4,417,329 pt
109位のチームC pt	2,800,189 pt
109位のチームD pt	3,054,382 pt
109位のチームE pt	3,359,059 pt
109位のチームF pt	5,380,008 pt
109位のチームG pt	2,468,799 pt
109位のチームH pt	3,223,754 pt
109位のチームI pt	3,816,000 pt
109位のチームJ pt	3,548,398 pt
※10/30(日) 00:57 集計時点BY SKDN
109位のチームA pt	2,494,701 pt
109位のチームB pt	4,417,329 pt
109位のチームC pt	2,800,189 pt
109位のチームD pt	3,054,382 pt
109位のチームE pt	3,359,059 pt
109位のチームF pt	5,380,008 pt
109位のチームG pt	2,468,799 pt
109位のチームH pt	3,223,754 pt
109位のチームI pt	3,816,000 pt
109位のチームJ pt	3,548,398 pt
※10/30(日)00:57 集計時点
109位のチームA pt	2,494,701 pt
109位のチームB pt	4,417,329 pt
109位のチームC pt	2,800,189 pt
109位のチームD pt	3,054,382 pt
109位のチームE pt	3,360,485 pt
109位のチームF pt	5,380,108 pt
109位のチームG pt	2,468,799 pt
109位のチームH pt	3,223,754 pt
109位のチームI pt	3,816,000 pt
109位のチームJ pt	3,552,250 pt
※10/30(日)00:58 集計時点
109位のチームA pt	2,494,701 pt
109位のチームB pt	4,417,335 pt
109位のチームC pt	2,800,189 pt
109位のチームD pt	3,054,382 pt
109位のチームE pt	3,360,485 pt
109位のチームF pt	5,380,109 pt
109位のチームG pt	2,468,799 pt
109位のチームH pt	3,223,754 pt
109位のチームI pt	3,816,000 pt
109位のチームJ pt	3,552,250 pt
※10/30(日) 00:58 集計時点BY SKDN
109位のチームA pt	2,494,701 pt
109位のチームB pt	4,417,335 pt
109位のチームC pt	2,800,189 pt
109位のチームD pt	3,054,382 pt
109位のチームE pt	3,360,485 pt
109位のチームF pt	5,380,109 pt
109位のチームG pt	2,468,799 pt
109位のチームH pt	3,223,754 pt
109位のチームI pt	3,816,000 pt
109位のチームJ pt	3,552,250 pt
※10/30(日)00:58 集計時点
109位のチームA pt	2,494,701 pt
109位のチームB pt	4,420,218 pt
109位のチームC pt	2,800,189 pt
109位のチームD pt	3,054,382 pt
109位のチームE pt	3,360,485 pt
109位のチームF pt	5,384,265 pt
109位のチームG pt	2,468,799 pt
109位のチームH pt	3,223,754 pt
109位のチームI pt	3,816,000 pt
109位のチームJ pt	3,552,760 pt
※10/30(日)00:59 集計時点
109位のチームA pt	2,494,701 pt
109位のチームB pt	4,421,789 pt
109位のチームC pt	2,800,189 pt
109位のチームD pt	3,054,382 pt
109位のチームE pt	3,360,485 pt
109位のチームF pt	5,384,265 pt
109位のチームG pt	2,468,799 pt
109位のチームH pt	3,223,754 pt
109位のチームI pt	3,816,000 pt
109位のチームJ pt	3,552,760 pt
※10/30(日) 01:00 集計時点BY SKDN
109位のチームA pt	2,494,701 pt
109位のチームB pt	4,421,789 pt
109位のチームC pt	2,800,189 pt
109位のチームD pt	3,054,382 pt
109位のチームE pt	3,360,485 pt
109位のチームF pt	5,384,265 pt
109位のチームG pt	2,468,799 pt
109位のチームH pt	3,223,754 pt
109位のチームI pt	3,816,000 pt
109位のチームJ pt	3,552,760 pt
※10/30(日)01:00 集計時点
109位のチームA pt	2,494,701 pt
109位のチームB pt	4,425,907 pt
109位のチームC pt	2,800,189 pt
109位のチームD pt	3,054,382 pt
109位のチームE pt	3,360,485 pt
109位のチームF pt	5,384,265 pt
109位のチームG pt	2,468,799 pt
109位のチームH pt	3,223,754 pt
109位のチームI pt	3,816,000 pt
109位のチームJ pt	3,552,760 pt
※10/30(日) 01:00 集計時点BY SKDN
109位のチームA pt	2,494,701 pt
109位のチームB pt	4,425,907 pt
109位のチームC pt	2,800,189 pt
109位のチームD pt	3,054,382 pt
109位のチームE pt	3,360,485 pt
109位のチームF pt	5,384,265 pt
109位のチームG pt	2,468,799 pt
109位のチームH pt	3,223,754 pt
109位のチームI pt	3,816,000 pt
109位のチームJ pt	3,552,760 pt
※10/30(日)01:00 集計時点
109位のチームA pt	2,494,701 pt
109位のチームB pt	4,425,907 pt
109位のチームC pt	2,800,189 pt
109位のチームD pt	3,054,382 pt
109位のチームE pt	3,360,485 pt
109位のチームF pt	5,384,512 pt
109位のチームG pt	2,468,799 pt
109位のチームH pt	3,223,754 pt
109位のチームI pt	3,817,447 pt
109位のチームJ pt	3,552,760 pt
※10/30(日)01:01 集計時点
109位のチームA pt	2,494,701 pt
109位のチームB pt	4,431,139 pt
109位のチームC pt	2,800,189 pt
109位のチームD pt	3,054,382 pt
109位のチームE pt	3,360,485 pt
109位のチームF pt	5,384,512 pt
109位のチームG pt	2,468,799 pt
109位のチームH pt	3,223,754 pt
109位のチームI pt	3,817,447 pt
109位のチームJ pt	3,552,760 pt
※10/30(日) 01:01 集計時点BY SKDN
109位のチームA pt	2,494,701 pt
109位のチームB pt	4,431,139 pt
109位のチームC pt	2,800,189 pt
109位のチームD pt	3,054,382 pt
109位のチームE pt	3,360,485 pt
109位のチームF pt	5,384,512 pt
109位のチームG pt	2,468,799 pt
109位のチームH pt	3,223,754 pt
109位のチームI pt	3,817,447 pt
109位のチームJ pt	3,552,760 pt
※10/30(日)01:01 集計時点
109位のチームA pt	2,494,701 pt
109位のチームB pt	4,431,139 pt
109位のチームC pt	2,800,189 pt
109位のチームD pt	3,054,382 pt
109位のチームE pt	3,360,485 pt
109位のチームF pt	5,390,523 pt
109位のチームG pt	2,468,799 pt
109位のチームH pt	3,224,337 pt
109位のチームI pt	3,822,303 pt
109位のチームJ pt	3,552,760 pt
※10/30(日)01:02 集計時点
109位のチームA pt	2,494,701 pt
109位のチームB pt	4,431,139 pt
109位のチームC pt	2,800,189 pt
109位のチームD pt	3,054,382 pt
109位のチームE pt	3,360,485 pt
109位のチームF pt	5,391,825 pt
109位のチームG pt	2,468,799 pt
109位のチームH pt	3,224,337 pt
109位のチームI pt	3,822,304 pt
109位のチームJ pt	3,552,760 pt
※10/30(日) 01:02 集計時点BY SKDN
109位のチームA pt	2,494,701 pt
109位のチームB pt	4,431,139 pt
109位のチームC pt	2,800,189 pt
109位のチームD pt	3,054,382 pt
109位のチームE pt	3,360,485 pt
109位のチームF pt	5,391,825 pt
109位のチームG pt	2,468,799 pt
109位のチームH pt	3,224,337 pt
109位のチームI pt	3,822,304 pt
109位のチームJ pt	3,552,760 pt
※10/30(日)01:02 集計時点
109位のチームA pt	2,494,701 pt
109位のチームB pt	4,431,139 pt
109位のチームC pt	2,800,189 pt
109位のチームD pt	3,054,382 pt
109位のチームE pt	3,360,485 pt
109位のチームF pt	5,391,826 pt
109位のチームG pt	2,468,799 pt
109位のチームH pt	3,224,465 pt
109位のチームI pt	3,825,115 pt
109位のチームJ pt	3,552,760 pt
※10/30(日)01:03 集計時点
109位のチームA pt	2,500,288 pt
109位のチームB pt	4,431,139 pt
109位のチームC pt	2,800,189 pt
109位のチームD pt	3,054,382 pt
109位のチームE pt	3,361,669 pt
109位のチームF pt	5,396,156 pt
109位のチームG pt	2,468,799 pt
109位のチームH pt	3,224,465 pt
109位のチームI pt	3,827,340 pt
109位のチームJ pt	3,552,760 pt
※10/30(日) 01:03 集計時点BY SKDN
109位のチームA pt	2,500,288 pt
109位のチームB pt	4,431,139 pt
109位のチームC pt	2,800,189 pt
109位のチームD pt	3,054,382 pt
109位のチームE pt	3,361,669 pt
109位のチームF pt	5,396,156 pt
109位のチームG pt	2,468,799 pt
109位のチームH pt	3,224,465 pt
109位のチームI pt	3,827,340 pt
109位のチームJ pt	3,552,760 pt
※10/30(日)01:03 集計時点
109位のチームA pt	2,500,288 pt
109位のチームB pt	4,431,139 pt
109位のチームC pt	2,800,189 pt
109位のチームD pt	3,054,382 pt
109位のチームE pt	3,361,671 pt
109位のチームF pt	5,396,157 pt
109位のチームG pt	2,468,799 pt
109位のチームH pt	3,224,465 pt
109位のチームI pt	3,827,442 pt
109位のチームJ pt	3,552,760 pt
※10/30(日)01:04 集計時点
109位のチームA pt	2,500,288 pt
109位のチームB pt	4,431,139 pt
109位のチームC pt	2,800,189 pt
109位のチームD pt	3,054,382 pt
109位のチームE pt	3,361,772 pt
109位のチームF pt	5,396,157 pt
109位のチームG pt	2,468,799 pt
109位のチームH pt	3,224,465 pt
109位のチームI pt	3,827,543 pt
109位のチームJ pt	3,552,760 pt
※10/30(日) 01:04 集計時点BY SKDN
109位のチームA pt	2,500,288 pt
109位のチームB pt	4,431,139 pt
109位のチームC pt	2,800,189 pt
109位のチームD pt	3,054,382 pt
109位のチームE pt	3,361,772 pt
109位のチームF pt	5,396,157 pt
109位のチームG pt	2,468,799 pt
109位のチームH pt	3,224,465 pt
109位のチームI pt	3,827,543 pt
109位のチームJ pt	3,552,760 pt
※10/30(日)01:04 集計時点
109位のチームA pt	2,500,288 pt
109位のチームB pt	4,431,139 pt
109位のチームC pt	2,800,189 pt
109位のチームD pt	3,054,382 pt
109位のチームE pt	3,361,873 pt
109位のチームF pt	5,396,157 pt
109位のチームG pt	2,468,799 pt
109位のチームH pt	3,224,465 pt
109位のチームI pt	3,830,176 pt
109位のチームJ pt	3,552,760 pt
※10/30(日)01:05 集計時点
109位のチームA pt	2,500,388 pt
109位のチームB pt	4,431,139 pt
109位のチームC pt	2,800,189 pt
109位のチームD pt	3,054,382 pt
109位のチームE pt	3,364,099 pt
109位のチームF pt	5,396,257 pt
109位のチームG pt	2,468,799 pt
109位のチームH pt	3,224,465 pt
109位のチームI pt	3,831,075 pt
109位のチームJ pt	3,552,760 pt
※10/30(日) 01:05 集計時点BY SKDN
109位のチームA pt	2,500,388 pt
109位のチームB pt	4,431,139 pt
109位のチームC pt	2,800,189 pt
109位のチームD pt	3,054,382 pt
109位のチームE pt	3,364,099 pt
109位のチームF pt	5,396,257 pt
109位のチームG pt	2,468,799 pt
109位のチームH pt	3,224,465 pt
109位のチームI pt	3,831,075 pt
109位のチームJ pt	3,552,760 pt
※10/30(日)01:05 集計時点
109位のチームA pt	2,503,127 pt
109位のチームB pt	4,431,139 pt
109位のチームC pt	2,800,189 pt
109位のチームD pt	3,054,382 pt
109位のチームE pt	3,364,101 pt
109位のチームF pt	5,398,053 pt
109位のチームG pt	2,468,799 pt
109位のチームH pt	3,224,465 pt
109位のチームI pt	3,832,370 pt
109位のチームJ pt	3,552,760 pt
※10/30(日)01:06 集計時点
109位のチームA pt	2,503,127 pt
109位のチームB pt	4,431,139 pt
109位のチームC pt	2,800,189 pt
109位のチームD pt	3,054,382 pt
109位のチームE pt	3,364,202 pt
109位のチームF pt	5,398,053 pt
109位のチームG pt	2,468,799 pt
109位のチームH pt	3,224,465 pt
109位のチームI pt	3,832,978 pt
109位のチームJ pt	3,552,760 pt
※10/30(日) 01:06 集計時点BY SKDN
109位のチームA pt	2,503,127 pt
109位のチームB pt	4,431,139 pt
109位のチームC pt	2,800,189 pt
109位のチームD pt	3,054,382 pt
109位のチームE pt	3,364,202 pt
109位のチームF pt	5,398,053 pt
109位のチームG pt	2,468,799 pt
109位のチームH pt	3,224,465 pt
109位のチームI pt	3,832,978 pt
109位のチームJ pt	3,552,760 pt
※10/30(日)01:06 集計時点
109位のチームA pt	2,503,127 pt
109位のチームB pt	4,431,139 pt
109位のチームC pt	2,800,189 pt
109位のチームD pt	3,054,382 pt
109位のチームE pt	3,364,303 pt
109位のチームF pt	5,400,057 pt
109位のチームG pt	2,468,799 pt
109位のチームH pt	3,224,465 pt
109位のチームI pt	3,832,978 pt
109位のチームJ pt	3,552,760 pt
※10/30(日)01:07 集計時点
109位のチームA pt	2,503,227 pt
109位のチームB pt	4,432,549 pt
109位のチームC pt	2,800,189 pt
109位のチームD pt	3,055,392 pt
109位のチームE pt	3,366,531 pt
109位のチームF pt	5,404,782 pt
109位のチームG pt	2,468,799 pt
109位のチームH pt	3,224,465 pt
109位のチームI pt	3,832,978 pt
109位のチームJ pt	3,552,760 pt
※10/30(日) 01:07 集計時点BY SKDN
109位のチームA pt	2,503,227 pt
109位のチームB pt	4,432,549 pt
109位のチームC pt	2,800,189 pt
109位のチームD pt	3,055,392 pt
109位のチームE pt	3,366,531 pt
109位のチームF pt	5,404,782 pt
109位のチームG pt	2,468,799 pt
109位のチームH pt	3,224,465 pt
109位のチームI pt	3,832,978 pt
109位のチームJ pt	3,552,760 pt
※10/30(日)01:07 集計時点
109位のチームA pt	2,503,227 pt
109位のチームB pt	4,432,549 pt
109位のチームC pt	2,800,189 pt
109位のチームD pt	3,055,392 pt
109位のチームE pt	3,366,631 pt
109位のチームF pt	5,404,782 pt
109位のチームG pt	2,468,799 pt
109位のチームH pt	3,224,465 pt
109位のチームI pt	3,832,978 pt
109位のチームJ pt	3,552,760 pt
※10/30(日)01:08 集計時点
109位のチームA pt	2,503,227 pt
109位のチームB pt	4,434,096 pt
109位のチームC pt	2,800,189 pt
109位のチームD pt	3,055,392 pt
109位のチームE pt	3,366,733 pt
109位のチームF pt	5,405,912 pt
109位のチームG pt	2,468,799 pt
109位のチームH pt	3,224,465 pt
109位のチームI pt	3,832,978 pt
109位のチームJ pt	3,552,760 pt
※10/30(日) 01:08 集計時点BY SKDN
109位のチームA pt	2,503,227 pt
109位のチームB pt	4,434,096 pt
109位のチームC pt	2,800,189 pt
109位のチームD pt	3,055,392 pt
109位のチームE pt	3,366,733 pt
109位のチームF pt	5,405,912 pt
109位のチームG pt	2,468,799 pt
109位のチームH pt	3,224,465 pt
109位のチームI pt	3,832,978 pt
109位のチームJ pt	3,552,760 pt
※10/30(日)01:08 集計時点
109位のチームA pt	2,503,227 pt
109位のチームB pt	4,434,096 pt
109位のチームC pt	2,800,189 pt
109位のチームD pt	3,055,392 pt
109位のチームE pt	3,366,735 pt
109位のチームF pt	5,408,374 pt
109位のチームG pt	2,468,799 pt
109位のチームH pt	3,224,465 pt
109位のチームI pt	3,832,978 pt
109位のチームJ pt	3,552,760 pt
※10/30(日)01:09 集計時点
109位のチームA pt	2,503,227 pt
109位のチームB pt	4,434,096 pt
109位のチームC pt	2,800,189 pt
109位のチームD pt	3,055,392 pt
109位のチームE pt	3,366,735 pt
109位のチームF pt	5,408,476 pt
109位のチームG pt	2,468,799 pt
109位のチームH pt	3,224,465 pt
109位のチームI pt	3,832,978 pt
109位のチームJ pt	3,552,760 pt
※10/30(日) 01:09 集計時点BY SKDN
109位のチームA pt	2,503,227 pt
109位のチームB pt	4,434,096 pt
109位のチームC pt	2,800,189 pt
109位のチームD pt	3,055,392 pt
109位のチームE pt	3,366,735 pt
109位のチームF pt	5,408,476 pt
109位のチームG pt	2,468,799 pt
109位のチームH pt	3,224,465 pt
109位のチームI pt	3,832,978 pt
109位のチームJ pt	3,552,760 pt
※10/30(日)01:09 集計時点
109位のチームA pt	2,503,227 pt
109位のチームB pt	4,434,096 pt
109位のチームC pt	2,800,189 pt
109位のチームD pt	3,055,392 pt
109位のチームE pt	3,368,885 pt
109位のチームF pt	5,408,476 pt
109位のチームG pt	2,468,799 pt
109位のチームH pt	3,224,465 pt
109位のチームI pt	3,832,978 pt
109位のチームJ pt	3,552,760 pt
※10/30(日)01:10 集計時点
109位のチームA pt	2,503,227 pt
109位のチームB pt	4,434,096 pt
109位のチームC pt	2,800,189 pt
109位のチームD pt	3,055,392 pt
109位のチームE pt	3,368,987 pt
109位のチームF pt	5,408,476 pt
109位のチームG pt	2,468,799 pt
109位のチームH pt	3,224,465 pt
109位のチームI pt	3,832,978 pt
109位のチームJ pt	3,552,760 pt
※10/30(日) 01:10 集計時点BY SKDN
109位のチームA pt	2,503,227 pt
109位のチームB pt	4,434,096 pt
109位のチームC pt	2,800,189 pt
109位のチームD pt	3,055,392 pt
109位のチームE pt	3,368,987 pt
109位のチームF pt	5,408,476 pt
109位のチームG pt	2,468,799 pt
109位のチームH pt	3,224,465 pt
109位のチームI pt	3,832,978 pt
109位のチームJ pt	3,552,760 pt
※10/30(日)01:10 集計時点
109位のチームA pt	2,503,227 pt
109位のチームB pt	4,434,096 pt
109位のチームC pt	2,800,189 pt
109位のチームD pt	3,055,392 pt
109位のチームE pt	3,370,097 pt
109位のチームF pt	5,409,511 pt
109位のチームG pt	2,468,799 pt
109位のチームH pt	3,225,052 pt
109位のチームI pt	3,832,978 pt
109位のチームJ pt	3,552,760 pt
※10/30(日)01:11 集計時点
109位のチームA pt	2,503,227 pt
109位のチームB pt	4,434,096 pt
109位のチームC pt	2,800,189 pt
109位のチームD pt	3,055,392 pt
109位のチームE pt	3,370,097 pt
109位のチームF pt	5,410,220 pt
109位のチームG pt	2,468,799 pt
109位のチームH pt	3,225,052 pt
109位のチームI pt	3,832,978 pt
109位のチームJ pt	3,552,760 pt
※10/30(日) 01:11 集計時点BY SKDN
109位のチームA pt	2,503,227 pt
109位のチームB pt	4,434,096 pt
109位のチームC pt	2,800,189 pt
109位のチームD pt	3,055,392 pt
109位のチームE pt	3,370,097 pt
109位のチームF pt	5,410,220 pt
109位のチームG pt	2,468,799 pt
109位のチームH pt	3,225,052 pt
109位のチームI pt	3,832,978 pt
109位のチームJ pt	3,552,760 pt
※10/30(日)01:11 集計時点
110位のチームA pt	2,494,701 pt
110位のチームB pt	4,431,139 pt
110位のチームC pt	2,784,851 pt
110位のチームD pt	3,054,382 pt
110位のチームE pt	3,370,097 pt
110位のチームF pt	5,404,583 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,224,465 pt
110位のチームI pt	3,820,978 pt
110位のチームJ pt	3,550,363 pt
※10/30(日)01:12 集計時点
110位のチームA pt	2,494,701 pt
110位のチームB pt	4,431,139 pt
110位のチームC pt	2,784,851 pt
110位のチームD pt	3,054,382 pt
110位のチームE pt	3,370,097 pt
110位のチームF pt	5,404,583 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,224,465 pt
110位のチームI pt	3,821,079 pt
110位のチームJ pt	3,550,363 pt
※10/30(日) 01:12 集計時点BY SKDN
110位のチームA pt	2,494,701 pt
110位のチームB pt	4,431,139 pt
110位のチームC pt	2,784,851 pt
110位のチームD pt	3,054,382 pt
110位のチームE pt	3,370,097 pt
110位のチームF pt	5,404,583 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,224,465 pt
110位のチームI pt	3,821,079 pt
110位のチームJ pt	3,550,363 pt
※10/30(日)01:12 集計時点
110位のチームA pt	2,495,484 pt
110位のチームB pt	4,431,139 pt
110位のチームC pt	2,784,851 pt
110位のチームD pt	3,054,382 pt
110位のチームE pt	3,370,097 pt
110位のチームF pt	5,404,583 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,224,465 pt
110位のチームI pt	3,832,978 pt
110位のチームJ pt	3,550,363 pt
※10/30(日)01:13 集計時点
110位のチームA pt	2,495,787 pt
110位のチームB pt	4,431,139 pt
110位のチームC pt	2,784,851 pt
110位のチームD pt	3,054,382 pt
110位のチームE pt	3,370,097 pt
110位のチームF pt	5,405,977 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,224,465 pt
110位のチームI pt	3,832,978 pt
110位のチームJ pt	3,551,488 pt
※10/30(日) 01:13 集計時点BY SKDN
110位のチームA pt	2,495,787 pt
110位のチームB pt	4,431,139 pt
110位のチームC pt	2,784,851 pt
110位のチームD pt	3,054,382 pt
110位のチームE pt	3,370,097 pt
110位のチームF pt	5,405,977 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,224,465 pt
110位のチームI pt	3,832,978 pt
110位のチームJ pt	3,551,488 pt
※10/30(日)01:13 集計時点
110位のチームA pt	2,497,304 pt
110位のチームB pt	4,431,139 pt
110位のチームC pt	2,784,851 pt
110位のチームD pt	3,054,382 pt
110位のチームE pt	3,370,097 pt
110位のチームF pt	5,410,220 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,224,465 pt
110位のチームI pt	3,832,978 pt
110位のチームJ pt	3,551,488 pt
※10/30(日)01:14 集計時点
110位のチームA pt	2,497,304 pt
110位のチームB pt	4,431,139 pt
110位のチームC pt	2,784,851 pt
110位のチームD pt	3,054,382 pt
110位のチームE pt	3,374,049 pt
110位のチームF pt	5,410,220 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,224,465 pt
110位のチームI pt	3,832,978 pt
110位のチームJ pt	3,551,488 pt
※10/30(日) 01:14 集計時点BY SKDN
110位のチームA pt	2,497,304 pt
110位のチームB pt	4,431,139 pt
110位のチームC pt	2,784,851 pt
110位のチームD pt	3,054,382 pt
110位のチームE pt	3,374,049 pt
110位のチームF pt	5,410,220 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,224,465 pt
110位のチームI pt	3,832,978 pt
110位のチームJ pt	3,551,488 pt
※10/30(日)01:14 集計時点
110位のチームA pt	2,497,304 pt
110位のチームB pt	4,431,139 pt
110位のチームC pt	2,784,851 pt
110位のチームD pt	3,054,382 pt
110位のチームE pt	3,374,050 pt
110位のチームF pt	5,410,220 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,224,465 pt
110位のチームI pt	3,832,978 pt
110位のチームJ pt	3,551,488 pt
※10/30(日)01:15 集計時点
110位のチームA pt	2,498,808 pt
110位のチームB pt	4,431,139 pt
110位のチームC pt	2,784,851 pt
110位のチームD pt	3,054,400 pt
110位のチームE pt	3,376,353 pt
110位のチームF pt	5,410,220 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,224,465 pt
110位のチームI pt	3,832,978 pt
110位のチームJ pt	3,551,488 pt
※10/30(日) 01:15 集計時点BY SKDN
110位のチームA pt	2,498,808 pt
110位のチームB pt	4,431,139 pt
110位のチームC pt	2,784,851 pt
110位のチームD pt	3,054,400 pt
110位のチームE pt	3,376,353 pt
110位のチームF pt	5,410,220 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,224,465 pt
110位のチームI pt	3,832,978 pt
110位のチームJ pt	3,551,488 pt
※10/30(日)01:15 集計時点
110位のチームA pt	2,504,592 pt
110位のチームB pt	4,431,139 pt
110位のチームC pt	2,784,851 pt
110位のチームD pt	3,055,392 pt
110位のチームE pt	3,376,455 pt
110位のチームF pt	5,410,220 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,224,465 pt
110位のチームI pt	3,832,978 pt
110位のチームJ pt	3,551,488 pt
※10/30(日)01:16 集計時点
110位のチームA pt	2,506,593 pt
110位のチームB pt	4,431,139 pt
110位のチームC pt	2,784,851 pt
110位のチームD pt	3,055,392 pt
110位のチームE pt	3,376,556 pt
110位のチームF pt	5,410,220 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,224,465 pt
110位のチームI pt	3,832,978 pt
110位のチームJ pt	3,551,488 pt
※10/30(日) 01:16 集計時点BY SKDN
110位のチームA pt	2,506,593 pt
110位のチームB pt	4,431,139 pt
110位のチームC pt	2,784,851 pt
110位のチームD pt	3,055,392 pt
110位のチームE pt	3,376,556 pt
110位のチームF pt	5,410,220 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,224,465 pt
110位のチームI pt	3,832,978 pt
110位のチームJ pt	3,551,488 pt
※10/30(日)01:16 集計時点
110位のチームA pt	2,506,593 pt
110位のチームB pt	4,431,139 pt
110位のチームC pt	2,784,851 pt
110位のチームD pt	3,055,568 pt
110位のチームE pt	3,376,657 pt
110位のチームF pt	5,410,220 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,224,465 pt
110位のチームI pt	3,832,978 pt
110位のチームJ pt	3,551,488 pt
※10/30(日) 01:17 集計時点BY SKDN
110位のチームA pt	2,506,593 pt
110位のチームB pt	4,431,139 pt
110位のチームC pt	2,784,851 pt
110位のチームD pt	3,055,568 pt
110位のチームE pt	3,376,657 pt
110位のチームF pt	5,410,220 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,224,465 pt
110位のチームI pt	3,832,978 pt
110位のチームJ pt	3,551,488 pt
※10/30(日)01:17 集計時点
110位のチームA pt	2,506,593 pt
110位のチームB pt	4,431,139 pt
110位のチームC pt	2,784,851 pt
110位のチームD pt	3,055,568 pt
110位のチームE pt	3,376,658 pt
110位のチームF pt	5,410,220 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,224,465 pt
110位のチームI pt	3,832,978 pt
110位のチームJ pt	3,551,488 pt
※10/30(日)01:18 集計時点
110位のチームA pt	2,506,593 pt
110位のチームB pt	4,431,139 pt
110位のチームC pt	2,786,521 pt
110位のチームD pt	3,055,568 pt
110位のチームE pt	3,378,909 pt
110位のチームF pt	5,410,220 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,224,465 pt
110位のチームI pt	3,832,978 pt
110位のチームJ pt	3,551,488 pt
※10/30(日) 01:18 集計時点BY SKDN
110位のチームA pt	2,506,593 pt
110位のチームB pt	4,431,139 pt
110位のチームC pt	2,786,521 pt
110位のチームD pt	3,055,568 pt
110位のチームE pt	3,378,909 pt
110位のチームF pt	5,410,220 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,224,465 pt
110位のチームI pt	3,832,978 pt
110位のチームJ pt	3,551,488 pt
※10/30(日)01:18 集計時点
110位のチームA pt	2,511,912 pt
110位のチームB pt	4,431,139 pt
110位のチームC pt	2,790,374 pt
110位のチームD pt	3,055,568 pt
110位のチームE pt	3,378,910 pt
110位のチームF pt	5,410,220 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,224,465 pt
110位のチームI pt	3,832,978 pt
110位のチームJ pt	3,551,488 pt
※10/30(日)01:19 集計時点
110位のチームA pt	2,511,913 pt
110位のチームB pt	4,431,139 pt
110位のチームC pt	2,791,018 pt
110位のチームD pt	3,055,568 pt
110位のチームE pt	3,379,012 pt
110位のチームF pt	5,410,220 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,224,465 pt
110位のチームI pt	3,832,978 pt
110位のチームJ pt	3,551,488 pt
※10/30(日) 01:20 集計時点BY SKDN
110位のチームA pt	2,511,913 pt
110位のチームB pt	4,431,139 pt
110位のチームC pt	2,791,018 pt
110位のチームD pt	3,055,568 pt
110位のチームE pt	3,379,012 pt
110位のチームF pt	5,410,220 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,224,465 pt
110位のチームI pt	3,832,978 pt
110位のチームJ pt	3,551,488 pt
※10/30(日)01:20 集計時点
110位のチームA pt	2,511,913 pt
110位のチームB pt	4,431,139 pt
110位のチームC pt	2,792,960 pt
110位のチームD pt	3,055,568 pt
110位のチームE pt	3,380,795 pt
110位のチームF pt	5,410,220 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,224,465 pt
110位のチームI pt	3,832,978 pt
110位のチームJ pt	3,551,488 pt
※10/30(日)01:20 集計時点
110位のチームA pt	2,511,913 pt
110位のチームB pt	4,431,139 pt
110位のチームC pt	2,796,492 pt
110位のチームD pt	3,059,974 pt
110位のチームE pt	3,380,795 pt
110位のチームF pt	5,410,220 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,224,465 pt
110位のチームI pt	3,832,978 pt
110位のチームJ pt	3,551,488 pt
※10/30(日) 01:20 集計時点BY SKDN
110位のチームA pt	2,511,913 pt
110位のチームB pt	4,431,139 pt
110位のチームC pt	2,796,492 pt
110位のチームD pt	3,059,974 pt
110位のチームE pt	3,380,795 pt
110位のチームF pt	5,410,220 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,224,465 pt
